# 【十字路口】对话 MiniMax 闫俊杰：M3、10X 计划、10T 模型、和智能的终局【视频播客】
# BV: BV1VGjh6WEf9 | UP: Koji杨远骋at十字路口 | 时长: 2283s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周的「十字路口」在 MiniMax Dev Meetup 现场录制，Koji 对谈MiniMax CEO 闫俊杰（IO）、Multica 创始人张佳圆、DeerFlow 核心负责人何涛，以及金融行业 AI 负责人虞扬。

我们围绕 AI Coding、Agent 与工程化落地的下一阶段展开。这期重点是闫俊杰 IO 的分享——也是他最近少有的公开露面：

1. M3 的关键突破和评价
[00:01:08 -> 00:01:10] 可能只有一百万
[00:01:10 -> 00:01:11] 还是两百万人
[00:01:11 -> 00:01:13] 这好像不是一个很大的事
[00:01:13 -> 00:01:15] 就两年前
[00:01:15 -> 00:01:16] 都是这么一个领域
[00:01:16 -> 00:01:18] 但现在显然不是
[00:01:18 -> 00:01:19] 因为AI这件事
[00:01:19 -> 00:01:20] 确实是可以让更多的人
[00:01:20 -> 00:01:21] 可以有生产力的
[00:01:21 -> 00:01:22] 我觉得这是一个
[00:01:22 -> 00:01:23] 非常好丰富的变化
[00:01:23 -> 00:01:24] 但是即使
[00:01:24 -> 00:01:25] 即使这个事
[00:01:25 -> 00:01:26] 它可以让很多人不会
[00:01:26 -> 00:01:27] 它的核心还是说
[00:01:27 -> 00:01:29] 一开始有一些
[00:01:29 -> 00:01:29] 真正的
[00:01:29 -> 00:01:30] 热爱这么来做的人
[00:01:30 -> 00:01:31] 然后在这个里面
[00:01:31 -> 00:01:32] 然后把它给
[00:01:32 -> 00:01:34] 宠卧给更多的人
[00:01:34 -> 00:01:34] 然后我觉得
[00:01:34 -> 00:01:36] 今天我们是第一次的
[00:01:36 -> 00:01:37] 反正我后面
[00:01:37 -> 00:01:38] 也会把它变成一个
[00:01:38 -> 00:01:39] 持续性的
[00:01:39 -> 00:01:40] 这么一个事情
[00:01:40 -> 00:01:42] 就从M1到M3
[00:01:42 -> 00:01:43] 我们看到了
[00:01:43 -> 00:01:44] 非常多的误破
[00:01:44 -> 00:01:47] 然后好奇
[00:01:47 -> 00:01:48] 这误击论的
[00:01:48 -> 00:01:48] 这些误破是
[00:01:48 -> 00:01:49] 分离期吗
[00:01:49 -> 00:01:50] 这些误破是
[00:01:50 -> 00:01:52] 还没有达到一期
[00:01:52 -> 00:01:53] 我觉得就是
[00:01:53 -> 00:01:54] 一个比较客观的指标
[00:01:54 -> 00:01:55] 其实是通讯消耗量
[00:01:55 -> 00:01:56] 其实M1的话
[00:01:56 -> 00:01:57] 我觉得我们
[00:01:57 -> 00:01:58] 实际上是
[00:01:58 -> 00:01:59] 这个通消耗
[00:01:59 -> 00:02:00] 其实是比较低的
[00:02:00 -> 00:02:00] 对我来说
[00:02:00 -> 00:02:02] 但是当时的M1的话
[00:02:02 -> 00:02:03] 我觉得是
[00:02:03 -> 00:02:05] 坦白说那个模型
[00:02:05 -> 00:02:06] 其实它最终的效果
[00:02:06 -> 00:02:06] 不太好
[00:02:06 -> 00:02:07] 但是其实实际上
[00:02:07 -> 00:02:08] 我们从做M1的时候
[00:02:08 -> 00:02:10] 就感受到了这件事
[00:02:10 -> 00:02:11] 就是一个很经典的桥段
[00:02:11 -> 00:02:12] 就是说什么
[00:02:12 -> 00:02:13] 探头在椅子上
[00:02:13 -> 00:02:14] 什么后背发联
[00:02:14 -> 00:02:14] 这种事
[00:02:14 -> 00:02:16] 我们有这种感觉
[00:02:16 -> 00:02:17] 其实在做M1的时候
[00:02:17 -> 00:02:18] 有这种感觉的
[00:02:18 -> 00:02:19] 就是在做M1的时候
[00:02:19 -> 00:02:20] 第一次跑通
[00:02:20 -> 00:02:21] 那个层上铁丝手
[00:02:21 -> 00:02:22] 然后那个时候
[00:02:22 -> 00:02:23] 记得说得清楚
[00:02:23 -> 00:02:24] 去年伟佳期
[00:02:24 -> 00:02:24] 那个时候
[00:02:24 -> 00:02:25] 反正就是
[00:02:25 -> 00:02:26] 第一次感受到
[00:02:26 -> 00:02:27] 这个东西
[00:02:27 -> 00:02:28] 但是那个模型
[00:02:28 -> 00:02:29] 其实没有怎么做成功
[00:02:29 -> 00:02:31] 然后到M2的时候
[00:02:31 -> 00:02:32] 去年下半年
[00:02:32 -> 00:02:33] 内核大家最关心的评测
[00:02:33 -> 00:02:34] 其实是
[00:02:34 -> 00:02:35] Arenda
[00:02:35 -> 00:02:35] 我记得
[00:02:35 -> 00:02:37] 所有人发布
[00:02:37 -> 00:02:38] 都会讲这个东西
[00:02:38 -> 00:02:38] 我们那个时候
[00:02:38 -> 00:02:39] 就非常明确
[00:02:39 -> 00:02:40] 我们就只做
[00:02:40 -> 00:02:41] Coding跟Editing
[00:02:41 -> 00:02:42] 然后我们就不管
[00:02:42 -> 00:02:44] 那些不相关的
[00:02:44 -> 00:02:45] 那些标划的
[00:02:45 -> 00:02:46] 那些场景
[00:02:46 -> 00:02:47] 我们真的是这么来决定
[00:02:47 -> 00:02:48] 然后这个决定
[00:02:48 -> 00:02:48] 其实让我们公众
[00:02:48 -> 00:02:49] 有很多的质疑
[00:02:49 -> 00:02:50] 就是为什么
[00:02:50 -> 00:02:51] 你不管这个东西
[00:02:51 -> 00:02:53] 然后但是我们就这么做了
[00:02:53 -> 00:02:53] 然后这么做了之后
[00:02:53 -> 00:02:54] 其实我们一开始
[00:02:54 -> 00:02:56] M2上线的时候
[00:02:56 -> 00:02:56] 我们觉得
[00:02:56 -> 00:02:57] 一天消耗
[00:02:57 -> 00:02:58] 一万亿的token
[00:02:58 -> 00:03:00] 我们就满意了
[00:03:00 -> 00:03:02] 当时并能比较是这样的
[00:03:02 -> 00:03:02] 然后
[00:03:02 -> 00:03:05] 结果它到M2.7的时候
[00:03:05 -> 00:03:06] 大概就变成了
[00:03:06 -> 00:03:07] 十万亿的token
[00:03:07 -> 00:03:08] 基本上就是想说
[00:03:08 -> 00:03:10] 我们比较超了十倍
[00:03:10 -> 00:03:12] 然后M3的话
[00:03:12 -> 00:03:12] 就是说
[00:03:12 -> 00:03:13] 我们其实是
[00:03:13 -> 00:03:14] 拼了一个更大的目标
[00:03:14 -> 00:03:14] 但这么多
[00:03:14 -> 00:03:15] 还没有完全实现
[00:03:15 -> 00:03:17] 然后就是说
[00:03:17 -> 00:03:18] 从通货销量的角度来说
[00:03:18 -> 00:03:19] 我觉得
[00:03:19 -> 00:03:21] 其实还是比较超如预期的
[00:03:21 -> 00:03:22] 从能力上来说的话
[00:03:22 -> 00:03:23] 是说
[00:03:23 -> 00:03:24] 我们在M2的时候
[00:03:24 -> 00:03:25] 其实就想实现
[00:03:25 -> 00:03:26] 多么碳
[00:03:26 -> 00:03:27] 但在M2的时候
[00:03:27 -> 00:03:27] 其实没有实现
[00:03:27 -> 00:03:29] 然后我们在M2的时候
[00:03:29 -> 00:03:30] 能够到
[00:03:30 -> 00:03:32] 编程里面
[00:03:32 -> 00:03:33] 能够当主流盟来用
[00:03:33 -> 00:03:34] 这个其实也没有实现
[00:03:34 -> 00:03:36] 但它实现的东西是说
[00:03:36 -> 00:03:37] 后面出来了
[00:03:37 -> 00:03:37] OpenCore
[00:03:37 -> 00:03:38] 出来的更高能力
[00:03:38 -> 00:03:40] 它找到了这样一个市场
[00:03:40 -> 00:03:41] M3的话
[00:03:41 -> 00:03:42] 就是说
[00:03:42 -> 00:03:43] 我们的两代盟友
[00:03:43 -> 00:03:44] 比较多是说
[00:03:44 -> 00:03:45] 可以不限制的来用
[00:03:45 -> 00:03:45] 这种
[00:03:45 -> 00:03:47] 不需要关心成本的
[00:03:47 -> 00:03:47] 来使用
[00:03:47 -> 00:03:48] 三十元一种东西
[00:03:48 -> 00:03:51] 二十元一种东西
[00:03:51 -> 00:03:51] 然后
[00:03:51 -> 00:03:53] 如果到这个东西
[00:03:53 -> 00:03:54] 再加上整个行业的
[00:03:54 -> 00:03:55] 大同的增长
[00:03:55 -> 00:03:55] 我觉得
[00:03:55 -> 00:03:57] 通货量能到一个
[00:03:57 -> 00:03:58] 非常可观的量级
[00:03:58 -> 00:03:58] 我觉得
[00:03:58 -> 00:04:00] 我觉得我们在
[00:04:00 -> 00:04:00] 非常接近这个时候
[00:04:00 -> 00:04:02] 好 谢谢
[00:04:02 -> 00:04:03] 然后嘉元
[00:04:03 -> 00:04:04] 刚才其实也有一个
[00:04:04 -> 00:04:04] 精彩的分享
[00:04:04 -> 00:04:06] 他在讲Google Engineering
[00:04:06 -> 00:04:07] 然后你们在做它的时候
[00:04:07 -> 00:04:08] 用的是
[00:04:08 -> 00:04:09] 这个M3
[00:04:09 -> 00:04:09] M3
[00:04:09 -> 00:04:11] 用的过程中
[00:04:11 -> 00:04:12] 你觉得有哪些
[00:04:12 -> 00:04:13] 好与不好
[00:04:13 -> 00:04:15] 首先就是
[00:04:15 -> 00:04:17] 我们其实工作流里面
[00:04:17 -> 00:04:18] 有大量的
[00:04:18 -> 00:04:19] 这种
[00:04:19 -> 00:04:20] 可以去pipeline化的
[00:04:20 -> 00:04:21] 这个场景
[00:04:21 -> 00:04:22] 包括去处理
[00:04:22 -> 00:04:22] GitHub的议事
[00:04:22 -> 00:04:23] 包括去处理
[00:04:23 -> 00:04:24] 比如说
[00:04:24 -> 00:04:25] 做这个
[00:04:25 -> 00:04:26] Custom Support
[00:04:26 -> 00:04:27] 等等一系列的
[00:04:27 -> 00:04:28] 这个场景
[00:04:28 -> 00:04:28] 因为
[00:04:28 -> 00:04:30] 其实并不是所有的场景
[00:04:30 -> 00:04:31] 都需要用
[00:04:31 -> 00:04:32] 最高级的模型来去做
[00:04:32 -> 00:04:33] 我们每个人自己都有
[00:04:33 -> 00:04:35] 好几个Cloud Code的账号
[00:04:35 -> 00:04:36] 加Codex
[00:04:36 -> 00:04:37] 然后加上Cursor
[00:04:37 -> 00:04:38] 可能有个几千美金
[00:04:38 -> 00:04:39] 每个月的
[00:04:39 -> 00:04:39] 这个token的消耗
[00:04:39 -> 00:04:41] 其实成本是非常高的
[00:04:41 -> 00:04:43] 我们现在就在做一个尝试
[00:04:43 -> 00:04:45] 就是
[00:04:45 -> 00:04:46] 单一的这个模型的能力
[00:04:46 -> 00:04:48] 可能它或多或少
[00:04:48 -> 00:04:50] 可能在一些方面都会有
[00:04:50 -> 00:04:51] 就是可能有这个方面不足
[00:04:51 -> 00:04:53] 或者那个方面不足
[00:04:53 -> 00:04:55] 但是能不能去设计一个系统
[00:04:55 -> 00:04:56] 去把
[00:04:56 -> 00:04:58] 比如说不同的模型
[00:04:58 -> 00:04:59] 的能力去聚合起来
[00:04:59 -> 00:05:01] 不同的Azure的能力去聚合起来
[00:05:01 -> 00:05:02] 它一定程度上
[00:05:02 -> 00:05:04] 可以弥补你的这个模型能力
[00:05:04 -> 00:05:05] 在一些情况下的不足
[00:05:05 -> 00:05:06] 比如说
[00:05:06 -> 00:05:07] 我们发现M3
[00:05:07 -> 00:05:09] 它可能有一些时候会比较啰嗦
[00:05:09 -> 00:05:09] 或者有些时候
[00:05:09 -> 00:05:11] 它这个Thinking的时间会比较长
[00:05:11 -> 00:05:13] 或者它给你的这个结果
[00:05:13 -> 00:05:14] 里面不一定
[00:05:14 -> 00:05:15] 所有的点都是正确的
[00:05:15 -> 00:05:16] 那这个时候你就可以
[00:05:16 -> 00:05:17] 用一个
[00:05:17 -> 00:05:19] 比如说其他的模型
[00:05:19 -> 00:05:20] 比如说像Ops或者是GBT
[00:05:20 -> 00:05:22] 来去给它去做这个Review
[00:05:22 -> 00:05:24] 或者是作为它的Mentor
[00:05:24 -> 00:05:24] 对
[00:05:24 -> 00:05:26] 然后让M3来去作为Coding的
[00:05:26 -> 00:05:27] 这样的一个模型
[00:05:27 -> 00:05:27] 这个其实是一个很重要的步骤
[00:05:28 -> 00:05:29] 就是用系统的这个方式
[00:05:29 -> 00:05:30] 来去拟合
[00:05:30 -> 00:05:32] 这个单一模型的
[00:05:32 -> 00:05:33] 这个部分能力的
[00:05:33 -> 00:05:34] 这样的一个不足
[00:05:34 -> 00:05:36] 然后我们实践下来
[00:05:36 -> 00:05:38] 发现它确实是
[00:05:38 -> 00:05:40] 能够达到你的这个Token的
[00:05:40 -> 00:05:40] 这个消耗
[00:05:40 -> 00:05:41] 以及
[00:05:41 -> 00:05:43] 整个产出的
[00:05:43 -> 00:05:44] 这个效果的一个平衡
[00:05:44 -> 00:05:46] 未来你的整个公司里面的
[00:05:46 -> 00:05:47] 这个Token Cost
[00:05:47 -> 00:05:49] 肯定是你需要去
[00:05:49 -> 00:05:50] 考虑的一个目标
[00:05:50 -> 00:05:51] 那这个时候
[00:05:51 -> 00:05:52] 你就需要去考虑
[00:05:52 -> 00:05:54] 怎么让不同的工作
[00:05:54 -> 00:05:55] 由不同的这个模型
[00:05:55 -> 00:05:56] 来去完成
[00:05:56 -> 00:05:57] 谢谢
[00:05:57 -> 00:05:58] 那接下来就是这个
[00:05:58 -> 00:05:59] 请何涛介绍一下
[00:05:59 -> 00:06:02] 说7万Star的DealFlow
[00:06:02 -> 00:06:03] 今天的DealFlow
[00:06:03 -> 00:06:05] 和一开始已经有很大的不一样了
[00:06:05 -> 00:06:05] 给大家介绍一下
[00:06:05 -> 00:06:06] 今天的DealFlow
[00:06:06 -> 00:06:07] 是一个什么DealFlow
[00:06:07 -> 00:06:09] 以及它是什么原因
[00:06:09 -> 00:06:11] 让很多人受欢迎
[00:06:11 -> 00:06:12] 这个问题
[00:06:12 -> 00:06:14] 我是第一次带给我们团队
[00:06:14 -> 00:06:16] 在公开场合回答
[00:06:16 -> 00:06:17] 然后我也跟我们团队讨论了一下
[00:06:17 -> 00:06:18] 我先说一句大白话
[00:06:18 -> 00:06:20] 为什么火这件事
[00:06:20 -> 00:06:22] 我们也没有追求出原因
[00:06:22 -> 00:06:23] 可能很多时候
[00:06:23 -> 00:06:24] Go Viral这件事
[00:06:24 -> 00:06:26] 就是上帝握着你的手
[00:06:26 -> 00:06:27] 写下了一堂代码
[00:06:27 -> 00:06:27] 或者是上帝握着你的手 写下了一堂代码
[00:06:27 -> 00:06:28] 或者是上帝握着你的嘴
[00:06:28 -> 00:06:30] 手写了一句话
[00:06:30 -> 00:06:31] Cloud Code
[00:06:31 -> 00:06:32] 或者是Cursor写了一段代码
[00:06:32 -> 00:06:35] 然后X字上面有人帮你转了
[00:06:35 -> 00:06:36] 它就火了
[00:06:36 -> 00:06:38] 但我想说的事情是
[00:06:38 -> 00:06:38] 这里边的话
[00:06:38 -> 00:06:40] 就是DealFlow
[00:06:40 -> 00:06:42] 它有两个身份
[00:06:42 -> 00:06:43] 第一个身份是
[00:06:43 -> 00:06:45] 它是一个开源项目
[00:06:45 -> 00:06:47] 然后这个开源项目的话
[00:06:47 -> 00:06:48] 一开始初中的话
[00:06:48 -> 00:06:51] 是我们在25年的时候发现
[00:06:51 -> 00:06:53] DeepResearch这样的任务非常贵
[00:06:53 -> 00:06:56] 你首先需要有一个200刀的
[00:06:56 -> 00:06:56] 呃
[00:06:56 -> 00:06:59] ChatGPT的Pro的订阅
[00:06:59 -> 00:07:00] 让你才能去用几次
[00:07:00 -> 00:07:02] 然后我们就觉得奸商
[00:07:02 -> 00:07:04] 开源必须得把你打下来
[00:07:04 -> 00:07:06] 而且我们还要用中国的模型
[00:07:06 -> 00:07:07] 给你打个样
[00:07:07 -> 00:07:10] 然后我们还连深图都要用中国的模型
[00:07:10 -> 00:07:12] 所以在我们一开始的我们的初生
[00:07:12 -> 00:07:12] 就是说
[00:07:12 -> 00:07:14] 我们想用一种自己的表达方式
[00:07:14 -> 00:07:17] 把在电脑端要去做的一个事情
[00:07:17 -> 00:07:20] 我们当时在一个大公司里面
[00:07:20 -> 00:07:22] 所以我们的日常工作就是要写报告
[00:07:22 -> 00:07:23] 然后报告的话
[00:07:23 -> 00:07:25] 可能还要有图表
[00:07:25 -> 00:07:26] 然后就有个报告跟图表
[00:07:26 -> 00:07:29] 之后那个时候还要生成像Cogy那样
[00:07:29 -> 00:07:30] 特别优质的播客
[00:07:30 -> 00:07:31] 最后的话
[00:07:31 -> 00:07:33] 我们还希望它能够变成一段动画片
[00:07:33 -> 00:07:35] 因为我们很多人都有小孩
[00:07:35 -> 00:07:36] 有这种动画片
[00:07:36 -> 00:07:38] 最后还有人说
[00:07:38 -> 00:07:39] 我喜欢听音乐
[00:07:39 -> 00:07:40] 那我要听音乐
[00:07:40 -> 00:07:43] 所以所以我得表扬一下Midimax的Token Plan
[00:07:43 -> 00:07:44] 这个是我们在Dade里面
[00:07:44 -> 00:07:46] 就接入了Midimax的Token Plan的原因
[00:07:46 -> 00:07:48] 就是多模态是一个非常有魅力的事情
[00:07:48 -> 00:07:50] 而且每个人的日常工作
[00:07:50 -> 00:07:51] 就是一个多模态的工作
[00:07:51 -> 00:07:53] 我觉得如果要反推来说的话
[00:07:53 -> 00:07:55] 这我觉得也是
[00:07:55 -> 00:07:56] 迪欧弗洛伊开始办的
[00:07:56 -> 00:07:56] 对的一个
[00:07:56 -> 00:07:59] 点我们一定要完成桌面工作者
[00:07:59 -> 00:08:00] 所有的工作
[00:08:00 -> 00:08:02] 就是有可能一开始是残缺的
[00:08:02 -> 00:08:03] 会被喷的
[00:08:03 -> 00:08:05] 我们要接受被人喷
[00:08:05 -> 00:08:05] 但你也要有
[00:08:05 -> 00:08:07] 然后迪欧弗洛伊的话
[00:08:07 -> 00:08:10] 其实这里面还有一个比较优先的一个身份
[00:08:10 -> 00:08:11] 迪欧弗洛伊现在是一个社区
[00:08:11 -> 00:08:15] 我们有1K以上的Country Builder
[00:08:15 -> 00:08:17] 这个Country Builder是覆盖了
[00:08:17 -> 00:08:21] 除了北极南极以外的
[00:08:21 -> 00:08:23] 其他的所有的陆地地区
[00:08:24 -> 00:08:25] 大概我可以这么说
[00:08:25 -> 00:08:26] 然后而且还有
[00:08:26 -> 00:08:28] 经常会有人给我们用各种
[00:08:28 -> 00:08:30] 我们看不懂的语言提issue
[00:08:30 -> 00:08:33] 怎么样用agent去管理这样的一个开源项目
[00:08:33 -> 00:08:35] 也成为了我们现在就是说
[00:08:35 -> 00:08:38] 不断的在研究跟探讨的一个方向
[00:08:38 -> 00:08:40] 然后以及我们现在被很多人去complain
[00:08:40 -> 00:08:43] 说我们的代码已经是屎山了
[00:08:43 -> 00:08:44] 我们怎么样再去说
[00:08:44 -> 00:08:47] 把屎山的代码再清扫一下
[00:08:47 -> 00:08:48] 变得更好
[00:08:48 -> 00:08:50] 我觉得这也是今天来到DevDay
[00:08:50 -> 00:08:52] 能够跟更多的开发者一起交流
[00:08:52 -> 00:08:55] 我理解这个其实是所有的成功的开源项目
[00:08:55 -> 00:08:56] 都走成的事情
[00:08:56 -> 00:08:57] 对
[00:08:57 -> 00:08:57] 对
[00:08:57 -> 00:08:59] 最近OvenCloud、NanoBot、OvenConcord
[00:08:59 -> 00:09:01] 就是不怎么这么做
[00:09:01 -> 00:09:03] 再这么做的话就送了
[00:09:03 -> 00:09:04] 好
[00:09:04 -> 00:09:06] 我们再接下来想请教一下宜阳
[00:09:06 -> 00:09:09] 就是在汇源宝、金融这么一个主力纸领域
[00:09:09 -> 00:09:13] 然后你们又作为一家上市公司
[00:09:13 -> 00:09:15] 你们现在在怎么用
[00:09:15 -> 00:09:17] DIBot的agent
[00:09:17 -> 00:09:22] 哪些部分是看到已经产生了非常直接的商业价值
[00:09:22 -> 00:09:23] 好
[00:09:23 -> 00:09:27] 我们这边是做直接是做金融行业的
[00:09:27 -> 00:09:28] 从我们用户的角度上来讲
[00:09:28 -> 00:09:30] 它其实不是什么表达
[00:09:30 -> 00:09:31] 我们的大多数用户
[00:09:31 -> 00:09:33] 他其实根本不知道他今天打开应用
[00:09:33 -> 00:09:34] 他今天想干什么
[00:09:34 -> 00:09:35] 一般来说
[00:09:35 -> 00:09:38] 如果你打开一个比如说类似于航行软件
[00:09:38 -> 00:09:41] 他总会希望是他目标是赚钱
[00:09:41 -> 00:09:41] 对吧
[00:09:41 -> 00:09:42] 这是很明显的一个事情
[00:09:42 -> 00:09:44] 除了这个事情以外
[00:09:44 -> 00:09:46] 但是他其实很难表达说我今天是要干什么
[00:09:46 -> 00:09:48] 他问的问题就是帮我选取几只个股
[00:09:48 -> 00:09:51] 这是我们收到的最多的一个问题
[00:09:51 -> 00:09:52] 帮你帮我选几只个股
[00:09:54 -> 00:09:57] 你遇到一般情况这个事情就傻了
[00:09:57 -> 00:09:57] 对不对
[00:09:57 -> 00:09:58] 比如说我现在问你或者你问我
[00:09:58 -> 00:10:00] 我也很难给你去选这个问题
[00:10:00 -> 00:10:00] 对吧
[00:10:00 -> 00:10:01] 这是第一个
[00:10:01 -> 00:10:03] 第二个我发现我们很多的同类的厂商
[00:10:03 -> 00:10:07] 他们做的东西是今天比如说我能够问你
[00:10:07 -> 00:10:08] 我今天某只购物怎么样
[00:10:08 -> 00:10:10] 那他会给你去罗列很多的信息
[00:10:10 -> 00:10:12] 然后就没有然后了
[00:10:12 -> 00:10:13] 对不对
[00:10:13 -> 00:10:14] 这个是一个很大的问题
[00:10:14 -> 00:10:15] 所以我觉得从这个角度上来说
[00:10:15 -> 00:10:16] 大家能做的东西
[00:10:16 -> 00:10:18] 第一步是筛选信息
[00:10:18 -> 00:10:20] 这个也是现在所有的东西
[00:10:20 -> 00:10:21] 大家都在做的问题
[00:10:21 -> 00:10:24] 第二个我们可以降低很多人的门槛
[00:10:24 -> 00:10:26] 大家都知道的很多一些术语
[00:10:26 -> 00:10:27] TTM是什么
[00:10:27 -> 00:10:29] 这个东西是大的还是小的这类的东西
[00:10:29 -> 00:10:31] 所以说从AI的这个角度上来说
[00:10:31 -> 00:10:32] 它其实可以给你降低很多门槛
[00:10:32 -> 00:10:35] 它告诉你这个数字为什么是这样子
[00:10:35 -> 00:10:38] 告诉你这个东西对于你的影响是什么样子
[00:10:38 -> 00:10:39] 这个是我们AI要做的事情
[00:10:39 -> 00:10:41] 然后再问一个很简短的问题
[00:10:41 -> 00:10:45] 就是作为在这个上市的金融公司做的AI负责
[00:10:45 -> 00:10:46] 那有没有AI帮你炒股
[00:10:49 -> 00:10:50] 这是一个好的问题
[00:10:50 -> 00:10:52] 第一个是因为有合规的原因
[00:10:52 -> 00:10:54] 我们这个是不能直接炒股的
[00:10:54 -> 00:10:55] 第二个事情是实话是说
[00:10:55 -> 00:10:56] 我们自己有这样的行为
[00:10:56 -> 00:10:58] 我们自己有这样回测的一个机制
[00:10:58 -> 00:11:00] 就是我们其实给用户输出的理论是不带投资建议
[00:11:00 -> 00:11:01] 但是我们内部的版本有
[00:11:01 -> 00:11:04] 我们可以根据我们自己的这个东西去做回测
[00:11:04 -> 00:11:05] 我们大概大致胜率是多少
[00:11:05 -> 00:11:06] 实际上来说
[00:11:06 -> 00:11:07] 于我个人而言
[00:11:07 -> 00:11:09] 我对于我们东西是无比有自信的
[00:11:09 -> 00:11:11] 因为我们实际上有真真实实的数据
[00:11:11 -> 00:11:14] 能支撑着我们说这个东西我们胜率是多少
[00:11:14 -> 00:11:15] 你会不会发现
[00:11:15 -> 00:11:20] 如果你今天就是工资其实远远跟不上
[00:11:20 -> 00:11:23] 就是博星告诉你投资建议
[00:11:23 -> 00:11:24] 按标准
[00:11:26 -> 00:11:29] 这是一个很好一个问题
[00:11:29 -> 00:11:31] 炒股这个事情跟你一般去做大模型推理
[00:11:31 -> 00:11:32] 其实不太一样
[00:11:32 -> 00:11:34] 它不是一个文字的问题
[00:11:34 -> 00:11:35] 它里面其实会有很多的步骤
[00:11:35 -> 00:11:36] 你的信息要对
[00:11:36 -> 00:11:38] 你的个人的画像要对
[00:11:38 -> 00:11:40] 你的整个分析的状态要对
[00:11:40 -> 00:11:41] 而且这是一方面
[00:11:41 -> 00:11:44] 第二方面就是这些东西都是实时去变化的
[00:11:44 -> 00:11:46] 你今天我做了一个决策
[00:11:46 -> 00:11:48] 它说OK没有问题
[00:11:48 -> 00:11:50] 很有可能市场下一步
[00:11:50 -> 00:11:52] 比如说OVA就直接拿出来PU了
