[00:00:00] 好的,感谢本次大会,感谢主持人的介绍。我是侯仲。今天想跟大家带来的一个分享就是AI 传统产业,从项目提效、团队提效到研发组织进化的实战之路。
[00:00:16] 在整体开始演讲之前,我先想跟大家讲一讲就是为什么我会把这个作为其中的一个选题。
[00:02:57] 接受破局,对比于传统的这个产业呢,
[00:03:00] 我们其实在干的一些事情是什么呢?
[00:03:03] 就是逐渐让它去自动化的过程。
[00:03:06] 那我们其实在原先的产业路径上,假设我们来做一个新的业务项目,
[00:03:10] 我们其实无非就念一个三大方案,
[00:03:13] 高燃机的投入、长周期的交付和低效率的行动。
[00:03:18] 那这三个方面是怎么造成的呢?
[00:03:20] 我们看一下我们业务跟产业团队之间的关系。
[00:03:23] 先说业务团队。
[00:03:24] 业务团队核心呢是进行创新和发展。
[00:03:28] 它一定会发现很多新的业务价值和业务机会。
[00:03:31] 在这些业务价值和业务机会下面呢,它一共会有很多重复性的行动。
[00:03:36] 它就希望产业接受。
[00:03:38] 那传统的方式呢,过来一个需求观。
[00:03:40] 我就去进行对应的落地开发,无论从产品PRD到技术架构、技术方案,
[00:03:46] 然后再过前后端实现测试,再到整体的上限。
[00:03:49] 是一个较长交付周期的。
[00:03:51] 而且这个过程中,我们在早期认为实体实施和落地是有很大的成本。
[00:03:56] 但到最后实施和落实的时候,我们发现其中协作的成本也非常大。
[00:04:00] 我们就在看这个地方怎么去进行改善。
[00:04:03] 那第二个呢,在最近这三年的AI发展中,它AI的能力是非常多的。
[00:04:08] 我们其实可以看到,最开始我们团队的架构师,还有就是研发工,
[00:04:13] 很早期也提过,说我感觉AI可以帮我写了某某段的代码。
[00:04:18] 然后呢,
[00:04:19] AI的产品也跟我说,我感觉AI可以去帮我写PRD的细化,
[00:04:23] 或者是帮我PRD的一些思路发展等等。
[00:04:26] 它可以有这些的输入。
[00:04:28] 当有了这些的输入之后,我问他说,你在整个项目里面是怎么样?
[00:04:32] 用的效果是什么?
[00:04:33] 大家其实是哭出来的。
[00:04:35] 我发现这是第一个不行。
[00:04:37] 就是我没办法以一个衡量的手段来扣把它在我项目中的产出。
[00:04:42] 这是第一点。
[00:04:43] 第二点呢,就是大家各自去实验的时候,发现没有一套统一的方法做的。
[00:04:48] 有组织有计划的,把它去落地。
[00:04:50] 然后可以发现不同的人,比如AI,它一定有不同的方法。
[00:04:54] 用的方法不一样,效果不一样。
[00:04:56] 跟我们一同办法形成合力,让其中的某些事情可以吃半分倍。
[00:05:01] 那我们就想到第二点,就是要去做知识的内化。
[00:05:05] 也就是说,AI是一个外部的技术专家。
[00:05:08] 那我把它拉到公司里面,它第一件事是什么?
[00:05:11] 我不懂你业务是什么,让你业务怎么发展。
[00:05:13] 那它必然不能直接为我作用。
[00:05:15] 那就像技术专家团队的内化。
[00:05:17] 第三个,在各种各路,其实有很多人机协作的事情。
[00:05:23] 我们怎么去上下游的协同,包括开多少次KO会,以及在进行对应的需求等等。
[00:05:29] 这些都需要多次多样的协同。
[00:05:31] 那我们一起来看看,在AI时代,我们是怎么逐渐解决这个问题的。
[00:05:36] 接下来,我先以几个数据上面来看。
[00:05:41] 我们当前其实落地了两个场景。
[00:05:44] 一个场景是一个具体的需求开发。
[00:05:46] 在这个需求开发里面,
[00:05:48] 人效整体的耗时降低到38.6%,
[00:05:51] 这块都是通过完整的压缩压出来的一个时间。
[00:05:54] 第二个方面是整体的一个团队体效。
[00:05:57] 一个18人的团队,大概每周能体效22.5到25PE的一个时间。
[00:06:03] 这块是通过前期的交叉验证,然后到整体团队的效果去验证。
[00:06:07] 再到最后落地实际做一个差,然后来去计算出来实际体效的效果。
[00:06:12] 让我们看第一个事情。
[00:06:14] 先说项目实践。
[00:06:16] 这个是一个很传统的一个项目。
[00:06:18] 就是做一个整体的平台运转的机制。
[00:06:21] 我们C多有对应的产品,有对应的功能。
[00:06:23] 我们也需要对应的在B端去完成相应的功能落地。
[00:06:27] 那我们其实就是一个很标准的一个相应的一个运营平台,
[00:06:33] 以及能力平台的一个开发。
[00:06:35] 那我们在这块里就做出一个项目。
[00:06:38] 我们先看一下它在这个阶段中怎么干。
[00:06:41] 第一件事,我们先找到一个产品。
[00:06:43] 在传统情况下,就像这种编程工具、DI coding的工具,
[00:06:46] 我们认为它是直接写代码的。
[00:06:49] 但是呢,我们这个地方其实想看到的第一个改变呢,
[00:06:52] 是产品可以用它来写PRD。
[00:06:54] 尤其是在PRD细化阶段。
[00:06:56] 我们一个产品工作呢,会先拿具体的原始需求,
[00:06:59] 当前系统的情况,然后以及业务的访谈记录,
[00:07:03] 比如说一些微信、聊天、对话等等。
[00:07:05] 它有我这个系统要拿去控理,
[00:07:08] 当前问题是什么,我希望怎么样改善,
[00:07:11] 现在系统是什么等等这些信息。
[00:07:14] 把它录为一个上下端。
[00:07:15] 完整的交付给AI。
[00:07:17] 交给AI之后呢,
[00:07:18] 你只需要去让它去先给我生成一个完整的一个PRD。
[00:07:22] 这个过程中呢,以下生成的结果不是百分百的。
[00:07:25] 它相当于是先生成一个70%左右,
[00:07:28] 有六七十个可用的一个PRD。
[00:07:30] 然后呢,对这个PRD进行细化,
[00:07:32] 比如说我跟它的母语章节进行对话,
[00:07:34] 我认为它的具体实现效果不好,
[00:07:36] 它具体功能效果不好,
[00:07:38] 以及呢,它去拆分的用户、团队关系,
[00:07:41] 以及系统模块拆分效果不好等等,
[00:07:43] 去完成了这个信号。
[00:07:44] 在细化之后呢,
[00:07:45] 我可以给大家展示一下右上角的这个图。
[00:07:48] 这个图里面呢,
[00:07:49] 经过一些拆分和拆解,
[00:07:51] 它把我们当前的这个地方运营场景,
[00:07:53] 拆分成了多个运营角色的一个工作协同。
[00:07:56] 每个角色分别在干的一些事情是什么。
[00:07:59] 它之前是知识关系,
[00:08:01] 还是主导关系,
[00:08:02] 还是协同关系,
[00:08:03] 还是共同落地的关系,
[00:08:04] 它完成了这个拆解。
[00:08:06] 这个拆解之后呢,
[00:08:07] 就可以进入到第二步。
[00:08:08] 我们继续拿这个拆解结果,
[00:08:10] 去完成PRD的细化。
[00:08:12] 我们可以看到,
[00:08:14] 完成这个细化的时候呢,
[00:08:15] 我们可以对左侧的这个图,
[00:08:17] 是一个非常详实的,
[00:08:19] 带有交互文字的一个PRD的图。
[00:08:22] 它里面包括了我们当前的这个代码,
[00:08:25] 应该就是怎么样去分辨,
[00:08:27] 当前的这个系统应该是怎么样交互,
[00:08:29] 它是为谁服务,
[00:08:30] 它点了某一个场景的按钮,
[00:08:32] 它有什么样的操作方法。
[00:08:34] 然后呢,
[00:08:35] 我就拿了这个PRD干了第二件事情,
[00:08:37] 我去让它去跟它对话,
[00:08:39] 生成一个原型图。
[00:08:40] 那大家都一定会问的,
[00:08:42] 这个原型图,
[00:08:43] 我们平常用的原型图工具,
[00:08:44] 是没有,
[00:08:45] 就是没有连接功能的,
[00:08:46] 我怎么通过这种工具生成呢?
[00:08:48] 就是最简单的一个方式,
[00:08:49] 我用HTML的模式,
[00:08:51] 就像写传端一样,
[00:08:52] 我写一个原型图就好了,
[00:08:53] 只不过我把这个视频当成原型图。
[00:08:55] 那我完成了某一个功能具体拆解,
[00:08:57] 然后我开始对话,
[00:08:58] 让它去给我生成主义的一个原型图,
[00:09:00] 就可以看到正中间的这个产出,
[00:09:03] 这个里面包括它的这个交互的逻辑,
[00:09:06] 然后以及它的原型图的这个示意,
[00:09:08] 它都是要完整的。
[00:09:09] 在此基础上,
[00:09:10] 我们其实整个系统的流程部分是非常重的,
[00:09:13] 它有很多具体的动线图,
[00:09:15] 我们要通过这个动线来描述用户的前后关系,
[00:09:18] 然后后端直接接口的协同关系,
[00:09:20] 然后数据的协同关系,
[00:09:22] 那就继续让它去基于整个PRD,
[00:09:24] 来生成第三账图,
[00:09:26] 也就是原型的动线图。
[00:09:27] 那在这次这个基础上呢,
[00:09:29] 我们其实现在就得到了一个人档,
[00:09:32] 然后一个就是交互的系统怎么拆分,
[00:09:34] 模块怎么拆分的一场的功能图,
[00:09:37] 然后呢,
[00:09:38] 多个产品原型图,
[00:09:40] 还有原型的动线图。
[00:09:41] 我们可以看一下这块的一个提供,
[00:09:42] 这块的一个提供情况。
[00:09:44] 这块的提供情况呢,
[00:09:45] 对产品我们当时做了一下采访,
[00:09:47] 我们发现,
[00:09:48] 一共应该是原来写这么复杂,
[00:09:50] 这么详细的一个PRD,
[00:09:51] 大概是五天,
[00:09:52] 但它类似的一个功能的PRD,
[00:09:54] 它一般会写三天,
[00:09:55] 差的那两天是什么呢,
[00:09:56] 是它那个具体需求文档中的,
[00:09:59] 整体的那段文字部分,
[00:10:01] 它进行了适当的缩减,
[00:10:02] 但是呢,
[00:10:03] 那个对应的动线图,
[00:10:04] 还有它的具体的这个原型图,
[00:10:06] 还不太合适化了。
[00:10:08] 那实际我们在这个原先一个三天,
[00:10:10] 但是要完整写成五天的工作下面,
[00:10:12] 进行这次需求细化花了多久呢,
[00:10:14] 只花了一天时间。
[00:10:16] 对于产品来说,
[00:10:17] 在需求体系化的过程,
[00:10:18] 是一个巨大的提效。
[00:10:20] 当然这部分不包括一个完整的需求练功,
[00:10:22] 比如说前面的需求访查,
[00:10:24] 用户调研等等这个练功,
[00:10:26] 因为还涉及大量的现场沟通,
[00:10:28] 所以我们依旧采取了现场沟通的方式来做。
[00:10:31] 那我们就进入到第二部分,
[00:10:32] 第二部分就是技术方案的设计,
[00:10:34] 我们以往的一个需求落地的过程中,
[00:10:37] 达到产品需求之后,
[00:10:39] 我们要进行KO,
[00:10:40] KO的话,
[00:10:41] 就是达到价格失落了,
[00:10:42] 达到前后端,
[00:10:43] 然后我们进行QA,
[00:10:44] 一起过来去提出这个需求KO,
[00:10:48] 提完这个需求KO之后呢,
[00:10:50] 大家再带着,
[00:10:51] 尤其是价格失落带着整体的需求方案,
[00:10:54] 我就去设计技术方案,
[00:10:55] 技术方案拆完以后,
[00:10:56] 再做一个前端后端的部分,
[00:10:59] 然后QA会带着需求方案去拆对应的测试用地,
[00:11:02] 那我们就来看,
[00:11:03] 在第二部分,
[00:11:04] 技术方案的设计中,
[00:11:05] 他干了什么。
[00:11:06] 我们其实在技术方案呢,
[00:11:08] 刚刚呢,
[00:11:09] 已经通过了这个,
[00:11:10] 原始的AI,
[00:11:11] 已经收成了一个Markdown版本的需求文档,
[00:11:14] 然后已经对应了多创原型图,
[00:11:16] 动线图,
[00:11:17] 以及这个交互图,
[00:11:18] 那我们拿到这一部分之后呢,
[00:11:19] 交给了第二部分,
[00:11:21] 技术价格失用的反馈,
[00:11:22] 它当前的生产方式呢,
[00:11:24] 就直接把这些原型图,
[00:11:26] 作为上下文的一个摘要,
[00:11:28] 相当于埋在一只兜打的知识布里面,
[00:11:30] 然后通过对话的形式,
[00:11:31] 就直接可以把他的技术方案收藏出来,
[00:11:34] 那原来要写这么一套技术方案呢,
[00:11:36] 是一个非常高成本的,
[00:11:38] 大概是50多个,
[00:11:39] 应该是30多个结口,
[00:11:41] 然后,
[00:11:42] 30多张表,
[00:11:43] 50多个结口,
[00:11:44] 然后呢,
[00:11:45] 具体呢,
[00:11:46] 是20几个模块的一个交互图,
[00:11:48] 这个交互图里,
[00:11:49] 除了这些模块之外,
[00:11:51] 还包括后端有哪些,
[00:11:53] 接口有哪些,
[00:11:54] 前端有哪些,
[00:11:55] 等等的一个拆分,
[00:11:56] 它进行对应的,
[00:11:57] 进行下一个过滤之后呢,
[00:11:59] 通过这个对话的形式,
[00:12:00] 就直接可以产生,
[00:12:01] 我们可以看到,
[00:12:02] 他帮我们干的事情,
[00:12:03] 有几方面,
[00:12:04] 自动化的这个技术方案收藏,
[00:12:06] 当然是个半自动化,
[00:12:07] 第二个,
[00:12:08] 整个方案,
[00:12:09] 描述里面,
[00:12:10] 它的语义啊,
[00:12:11] 尤其是很规范的,
[00:12:12] 它的方案是很整齐的,
[00:12:14] 同时让一些,
[00:12:15] 提前的设计缺陷,
[00:12:16] 也在过程中被发现,
[00:12:17] 这点我们觉得很重要,
[00:12:19] 在设计方案的时候,
[00:12:20] 我们有很多情况,
[00:12:21] 会发现,
[00:12:22] 产品需求中,
[00:12:23] 有一些小点,
[00:12:24] 是没有被提前预示到的,
[00:12:25] 但这个,
[00:12:26] 通过这个方式呢,
[00:12:27] 我们可以提前的,
[00:12:28] 把一些小点,
[00:12:29] 具体的逻辑细节,
[00:12:30] 去完成了一个透传,
[00:12:32] 在这块呢,
[00:12:33] 我们就解决了,
[00:12:34] 技术方案的事情,
[00:12:35] 我们再往下来,
[00:12:38] 在这个阶段,
[00:12:39] 具体呢,
[00:12:40] 就进入到我们实际的,
[00:12:41] 开发的试试阶段,
[00:12:42] 我们当前的路径呢,
[00:12:43] 是完成技术方案的,
[00:12:44] 生成之后呢,
[00:12:45] 就进入了技术RFC的评审,
[00:12:47] 进入RFC的评审之后呢,
[00:12:48] 就会去开发几个项目,
[00:12:50] 几个分支,
[00:12:51] 包括QA的分支,
[00:12:52] QA这块会立即去,
[00:12:53] 拿个技术方案,
[00:12:54] 和产品方案,
[00:12:55] 相对应的用力,
[00:12:56] 然后以及前端的分支,
[00:12:58] 会去评估具体的,
[00:12:59] 前端的办法实现,
[00:13:00] 后端的分支,
[00:13:06] 我们的提效非常多的,
[00:13:08] 最眼前的几个,
[00:13:09] 前端这边有40%左右的提效,
[00:13:11] 然后服务端这边呢,
[00:13:13] 是从10天,
[00:13:14] 10天天,
[00:13:15] 降低到60天,
[00:13:16] 同时测试这边呢,
[00:13:17] 53%的测试用力,
[00:13:19] 都是直接自动生产的,
[00:13:21] 然后剩下的一部分呢,
[00:13:22] 是通过修改,
[00:13:23] 二次完成生产的,
[00:13:25] 这里头想提一个,
[00:13:26] 我们在期间发现一个,
[00:13:27] 特别有意思的现象,
[00:13:29] 就我们QA是,
[00:13:30] 最快的测试用力生产的团队,
[00:13:32] 它拿到生产后的测试用力之后呢,
[00:13:34] 就派发到了前端和服务端之后,
[00:13:36] 我们发现使用大模型,
[00:13:38] 加支付的整个这一套,
[00:13:40] 写字标上,
[00:13:41] 其实在我们内部,
[00:13:42] 可以玩一套白色测试的功能,
[00:13:44] 怎么说,
[00:13:45] 具体来说,
[00:13:46] 我一共是,
[00:13:47] 应该是,
[00:13:48] 将近260左右一个测试用力,
[00:13:51] 具体的测试用力,
[00:13:52] 白色测试方式呢,
[00:13:53] 就是无论是前端还是服务端,
[00:13:55] 它有这个具体的功能,
[00:13:57] 我拿到这条case,
[00:13:58] 和对应的代码,
[00:13:59] 作为上下评,
[00:14:00] 然后以产品需求,
[00:14:01] 就是加工,
[00:14:02] 那它会上下评之后,
[00:14:03] 我去进行对话,
[00:14:04] 就是请你基于某某case,
[00:14:06] 去进行实践,
[00:14:07] 就是进行白色的验证,
[00:14:09] 它会按照整体的这个代码,
[00:14:11] 怎么样去运转,
[00:14:12] 能否实际实现这个测试,
[00:14:14] 就是那个测试用力的流程,
[00:14:16] 来帮我去试分析,
[00:14:18] 当它分析成功之后,
[00:14:19] 大概就认为这条代码得了,
[00:14:21] 当它分析不成功之后,
[00:14:23] 它会自动地去进行修改,
[00:14:25] 通过这种方式,
[00:14:26] 我们提前发现了很多问题,
[00:14:29] 同时在这个过程中,
[00:14:30] 我也发现很重要的一个场景,
[00:14:32] 我们在商场的产品方案,
[00:14:34] 技术方案,
[00:14:35] 以及对应的测试用力,
[00:14:37] 这些完整地就打包成了一个具体的支持库,
[00:14:41] 通过这个支持库的驱动,
[00:14:42] 就可以有效地减少,
[00:14:44] 我们在上下缘,
[00:14:45] 以及在整体协作中的作用,
[00:14:47] 有一个最简单的,
[00:14:49] 最典型的场景,
[00:14:51] 我们当时的服务端研发,
[00:14:52] 找我去对接这个事情,
[00:14:54] 提到了一个点,
[00:14:55] 就是我们原先接的很多产品需求,
[00:14:57] 它是显得不清晰的,
[00:14:59] 那在这个时间的过程中,
[00:15:00] 我干什么呢,
[00:15:01] 我会去,
[00:15:02] 不停地通过,
[00:15:03] 不停地去问他,
[00:15:04] 有些细节,
[00:15:05] 你是不是想这样做,
[00:15:06] 然后找他去确定,
[00:15:07] 确定完之后呢,
[00:15:08] 再根据对方的时间经验,
[00:15:10] 或者他想要的要求,
[00:15:11] 去进行改造和调整,
[00:15:13] 但在这个过程中,
[00:15:14] 首先PRD行为特别长,
[00:15:16] 或者说特别详实,
[00:15:17] 这种问题减少了,
[00:15:19] 第二个,
[00:15:20] 在PRD到技术方案生产,
[00:15:21] 技术方案也特别详实,
[00:15:23] 也减少了,
[00:15:24] 所以相当于,
[00:15:25] 前置的很多的信息,
[00:15:26] 不需要再通过反讲,
[00:15:28] 反复沟通,
[00:15:29] 再去过去,
[00:15:30] 而可以直接地,
[00:15:31] 去完成对应拆解的落定,
[00:15:33] 就相当于在协论过程中,
[00:15:36] 有明显的一个提效果,
[00:15:39] 那我们整体来看,
[00:15:40] 它最终的一个总成本,
[00:15:41] 下降是什么样的呢,
[00:15:42] 我们经过实际的压测,
[00:15:44] 最后发现,
[00:15:45] 提效果到38.6,
[00:15:47] 原先预计是44人天的一个项目,
[00:15:50] 降低到了27人天,
[00:15:52] 这个项目是怎么评估的,
[00:15:54] 首先我们一般各种各样的项目,
[00:15:56] 在上线之前,
[00:15:57] 都会有一个交叉评估的过程,
[00:15:59] 这个过程包括,
[00:16:00] 因为所谓的互联网,
[00:16:02] 我们的功能开发,
[00:16:03] 或者产品开发,
[00:16:04] 其实是没有新的事儿的,
[00:16:05] 基本上每开发的一个新需求,
[00:16:07] 它的开头子龙块,
[00:16:08] 都能找到历史中,
[00:16:09] 一个需求的子龙块的开发时间,
[00:16:11] 我们一般是通过这个子龙块开发时间,
[00:16:14] 进行事前的对比,
[00:16:15] 事前的话,
[00:16:16] 包括前端有多少个结构,
[00:16:18] 后端有多少个结构,
[00:16:19] 前端有多少个面面,
[00:16:20] 哪个技术方案,
[00:16:21] 预计是一个多复杂的技术方案,
[00:16:23] 表有多少能耐,
[00:16:24] 通过这些方式,
[00:16:25] 我们能从前置的分析出来,
[00:16:26] 这是一个怎样规模的一个项目,
[00:16:28] 进行这个项目之后呢,
[00:16:29] 27亿人天是我们实际开发中,
[00:16:32] 实际所占的人天,
[00:16:33] 我们发现这个地方有非常明显的提跳,
[00:16:36] 然后做了一个访谈,
[00:16:37] 我们发现AI主要在几个方面上,
[00:16:40] 对我们有巨大的改善,
[00:16:41] 第一个呢,
[00:16:42] 就需要很多细化的工程,
[00:16:44] 这个需要很多的改善,
[00:16:46] 比如说产品需求的细化,
[00:16:48] 比如说Ever的具体实现,
[00:16:49] 这些改善,
[00:16:50] 第二个是那种探索性发散思维,
[00:16:53] 比如说我实现了我每个功能的时候,
[00:16:55] 我实现了我每个功能的时候,
[00:16:56] 我可能自己去想,
[00:16:57] 我可能只想了几个点子,
[00:16:59] 但是AI可以帮我去发散想更多的点子,
[00:17:01] 更多的方案由我来去决策使用的方案,
[00:17:04] 这个地方也是有很明显的,
[00:17:06] 这个在产品和技术架构这边都提到了,
[00:17:09] 产品上面是说,
[00:17:10] 具体某个产品功能,
[00:17:11] 我们应该怎么去落地和实现,
[00:17:13] 它提供了很多套方案,
[00:17:14] 我们才会完成其中一个方案去选择,
[00:17:16] 技术架构的话,
[00:17:17] 一般遇到某些场景,
[00:17:18] 我们要同时对比成本,
[00:17:20] 效率以及声音等等,
[00:17:21] 做这个三个的对比,
[00:17:23] 对比完之后呢,
[00:17:26] 这个过程中呢,
[00:17:27] 其实在架构上也得到了对应的产品,
[00:17:30] 那剩下呢,
[00:17:31] 最后一块就是协工,
[00:17:33] 在协工的过程中,
[00:17:34] 我们发现整个项目,
[00:17:35] 通过我们现在这套方式的全面的启发,
[00:17:39] 它规避掉了很多繁琐的来回沟通和重新沟通,
[00:17:43] 降低了会议的次数,
[00:17:44] 也降低了整体的沟通的次数,
[00:17:47] 让我们的这个上线得到了最快的上限,
[00:17:53] 那做完这个项目之后,
[00:17:55] 我们就想着,
[00:17:56] 既然这个项目是可以有,
[00:17:57] 进步的提升,
[00:17:58] 我能不能把这个经验,
[00:17:59] 去落地到更多的项目上,
[00:18:01] 进入到中文化的进步,
[00:18:03] 就是整个弊端团队的KLR探索,
[00:18:05] 我们在这个过程中呢,
[00:18:07] 其实有这么几个发现,
[00:18:09] 首先我们第一个项目的产出是什么,
[00:18:11] 它是基于这个项目的产品需求,
[00:18:14] 技术实现等等,
[00:18:15] 全部是一个纯新的场景,
[00:18:18] 我们去来落地的,
[00:18:19] 那我们就在真实的场景中,
[00:18:21] 一定会遇到的就是,
[00:18:22] 我一个十几年的老系统,
[00:18:24] 要做新需求的顶代,
[00:18:26] 然后呢,
[00:18:27] 我一个完整的一个老功能,
[00:18:29] 或者一个复杂的技术功能,
[00:18:30] 要得顶代,
[00:18:31] 我该怎么办,
[00:18:32] 或者一个小bug,
[00:18:33] 小需求的时间,
[00:18:34] 要得顶代,
[00:18:35] 我应该怎么办,
[00:18:36] 那我就是从这边,
[00:18:37] 在规模化中,
[00:18:38] 在尝试解决的方法,
[00:18:39] 我们先说结果,
[00:18:40] 我们在过程中发现,
[00:18:41] 通过我们一些方案,
[00:18:43] 可以把想象中的开发时间,
[00:18:45] 从比如说30分钟,
[00:18:46] 降低到6分钟,
[00:18:47] 这个是做的一个团转实验,
[00:18:49] 严重的,
[00:18:50] 提升的比较多,
[00:18:51] 同时,
[00:18:52] 问题排查的效率,
[00:18:53] 也得到了进步的提升,
[00:18:54] 然后呢,
[00:18:55] 进入了这些过程中,
[00:18:56] 我们其实核心运用的一个经验,
[00:18:58] 就是两个,
[00:18:59] 就是一个是把外部的技术专家,
[00:19:02] 从内化成一个团队专家,
[00:19:04] 第二个呢,
[00:19:05] 就是通过知识来驱动整体的团队,
[00:19:07] 产生更进一步的医药价值,
[00:19:09] 我们先做的一个第一个场景,
[00:19:11] 这个场景,
[00:19:12] 我简称它叫做换人不换事,
[00:19:15] 这个场景,
[00:19:16] 跟我们之前实践成功的那个场景,
[00:19:19] 从事情上,
[00:19:20] 我们完成拆解之后,
[00:19:21] 发现事情上是类似的事情,
[00:19:23] 但是,
[00:19:24] 在练习后,
[00:19:25] 我把整个团队成员,
[00:19:26] 换了一批新的人,
[00:19:27] 新的架构,
[00:19:28] 新的抢购端,
[00:19:29] 去落实这个项目,
[00:19:30] 去进行实现,
[00:19:31] 那在这个实现的过程中,
[00:19:33] 我们发现,
[00:19:34] 体效空间比第一次还大,
[00:19:36] 我们之后做了访谈,
[00:19:38] 发现了一个最有意思的点,
[00:19:40] 就是什么,
[00:19:41] 就是这次的体效,
[00:19:42] 其实主要集中在第一国人,
[00:19:45] 做的时候把很多坑点记录下来,
[00:19:47] 第二次人就完成了一个采取结构,
[00:19:49] 按照相同的思路,
[00:19:50] 相同的经验,
[00:19:51] 去重新做一个类似的事情,
[00:19:53] 最后完成了一个巨大的体效,
[00:19:55] 我们证明了一个事情,
[00:19:56] 就是团队化的AI鞋子,
[00:19:58] 去开发卧底,
[00:19:59] 一个产业项目,
[00:20:01] 是有可复制的空间的,
[00:20:02] 只要这个事,
[00:20:03] 统一做过,
[00:20:04] 做成过一次,
[00:20:05] 那类似的事情,
[00:20:06] 就可以在,
[00:20:07] 我们建立了这么一个结构,
[00:20:10] 我们验证的第二个结果,
[00:20:11] 是这两个,
[00:20:12] 一个是整个一套,
[00:20:13] 完成的一个监控系统,
[00:20:15] 它涉及到三方对接,
[00:20:16] 涉及到我们内部的一个系统对接,
[00:20:18] 就这么一个系统来开发,
[00:20:20] 那第二块呢,
[00:20:21] 是整个一个历史的老项目的一个前端,
[00:20:24] 进行重构,
[00:20:25] 那这两块呢,
[00:20:26] 我们其实,
[00:20:27] 我的做法是,
[00:20:28] 换事换人,
[00:20:29] 拿第一波产出成果的那个团队,
[00:20:31] 打了一个班子,
[00:20:33] 这个班子呢,
[00:20:34] 去,
[00:20:35] 因为它有一个成熟的,
[00:20:36] 当时剑铁品牌的,
[00:20:37] 那个体效的空间的经验,
[00:20:39] 我去化了另外一些,
[00:20:40] 事情呢,
[00:20:41] 不是特别匹配的事情,
[00:20:43] 但是呢,
[00:20:44] 我让他们去尝试去做,
[00:20:45] 类似的事情,
[00:20:46] 看看有没有AI体效的空间,
[00:20:48] 答案是很,
[00:20:49] 很正向的,
[00:20:50] 也是达到了,
[00:20:51] 双半分之五的效率提升,
[00:20:53] 而且空间都是比较明显的,
[00:20:55] 说明,
[00:20:56] 已有的成功经验,
[00:20:57] 不只局限于,
[00:20:58] 类似的一套品牌需求商业,
[00:21:00] 同时可以迁移到,
[00:21:01] 其他品牌商业,
[00:21:05] 同时我们在过程中,
[00:21:06] 有多做的一些,
[00:21:07] 其他的场景,
[00:21:08] 比如说,
[00:21:09] 有些小功能的开发,
[00:21:10] 我们在小功能的开发,
[00:21:11] 大家提到了一个最大的理由,
[00:21:13] 就是因为AI不理解我们的业务,
[00:21:15] 不理解我们的系统,
[00:21:16] 那它在知识不完备的情况下,
[00:21:19] 它会走弯,
[00:21:20] 走偏,
[00:21:21] 有很多纠偏的情况,
[00:21:23] 我们就去验证,
[00:21:24] 怎么让这种小功能,
[00:21:25] 得到进步的提升,
[00:21:26] 这块呢,
[00:21:27] 特别值得说的是,
