# 【十字路口】97后CEO：别卷语言模型了，3D才是蓝海【视频播客】
# BV: BV1pi4gzXEdh | UP: Koji杨远骋at十字路口 | 时长: 5029s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 在文生图、文生视频的浪潮之外，下一个引爆我们想象力的 AI 技术奇点在哪里？答案可能是 AI + 3D。

本周，我们邀请国内 3D 大模型公司 VAST 的创始人和 CEO 宋亚宸（Simon），和我们聊聊 VAST 最新 3D 生成大模型 Tripo 3.0 背后的故事。

这位 97 年的创业者短期内连续融资三轮、每轮数千万美金，积攒了足够的子弹，在闷头苦干一年后，Simon 今年首次上播客，和我们探讨了几个关键的战略问题：
[00:02:25 -> 00:02:29] 然后我们有一个社交破冰的方式是
[00:02:29 -> 00:02:32] 用我是叉叉叉来造句
[00:02:32 -> 00:02:35] 我们在上一期里面用这个方式
[00:02:35 -> 00:02:36] 觉得还挺好玩的
[00:02:36 -> 00:02:38] 然后也请Simon来今天体验一下
[00:02:38 -> 00:02:40] 以我是什么什么开头
[00:02:40 -> 00:02:43] 来介绍关于自己的实践室
[00:02:43 -> 00:02:45] 我是宋亚辰
[00:02:45 -> 00:02:46] 28岁
[00:02:46 -> 00:02:48] 是一个创业者
[00:02:48 -> 00:02:49] 第二吧
[00:02:49 -> 00:02:53] 我是这个Vast的创始人也是CEO
[00:02:53 -> 00:02:54] 第三呢
[00:02:54 -> 00:02:57] 就是我是一个addictive gamer
[00:02:57 -> 00:02:59] 就是我是一个非常非常
[00:02:59 -> 00:03:00] 上瘾的一个人
[00:03:00 -> 00:03:01] 到什么程度
[00:03:01 -> 00:03:02] 在我上大学的时候
[00:03:02 -> 00:03:05] 习梦慈上被我做出来的一个坑
[00:03:05 -> 00:03:07] 我喜欢在床上面打游戏
[00:03:07 -> 00:03:08] 第四个
[00:03:08 -> 00:03:11] 我也是一个非常喜欢旅游的人
[00:03:11 -> 00:03:13] 我去过像哥鲁吉亚
[00:03:13 -> 00:03:14] 百慕大
[00:03:14 -> 00:03:15] 古巴
[00:03:15 -> 00:03:16] 土耳其
[00:03:16 -> 00:03:18] 摩洛哥
[00:03:18 -> 00:03:19] 各种各样的地方
[00:03:19 -> 00:03:21] 就是各大洲都去过
[00:03:21 -> 00:03:25] 我是一个叫做跨行业者
[00:03:25 -> 00:03:29] 就是我原来其实是一个
[00:03:29 -> 00:03:33] 学习偏文科
[00:03:33 -> 00:03:36] 多一些的一些学科的
[00:03:36 -> 00:03:38] 然后后面去做了AI
[00:03:38 -> 00:03:44] 所以也有一些交叉行业的这么一个意味在里面
[00:03:44 -> 00:03:46] 我记得你是学神学
[00:03:46 -> 00:03:48] 我学希伯来语阿拉伯语
[00:03:48 -> 00:03:51] 最早是想往这个方向去发展的
[00:03:51 -> 00:03:53] 你之前学的东西
[00:03:53 -> 00:03:57] 对现在的工作有直接或间接的帮助吗
[00:03:57 -> 00:03:59] 我觉得之所以自己做了很多
[00:03:59 -> 00:04:01] 决定和决策
[00:04:01 -> 00:04:04] 其实是来自于之前
[00:04:04 -> 00:04:06] 接触到了什么样子的人和信息的
[00:04:06 -> 00:04:08] 所以肯定是有帮助的
[00:04:08 -> 00:04:09] 对
[00:04:09 -> 00:04:11] 五个了
[00:04:11 -> 00:04:14] 然后我是一个
[00:04:14 -> 00:04:16] 特别喜欢读书的人
[00:04:16 -> 00:04:17] OK
[00:04:17 -> 00:04:17] 对
[00:04:17 -> 00:04:20] 就是当然还包括听东西
[00:04:20 -> 00:04:22] 就是我通过读书和听东西
[00:04:22 -> 00:04:24] 可以学很多
[00:04:24 -> 00:04:27] 目前还不是一个特别喜欢听播客的人
[00:04:27 -> 00:04:28] 你最近读的一本书是什么
[00:04:28 -> 00:04:29] 很难
[00:04:29 -> 00:04:29] 最近是读了一个
[00:04:29 -> 00:04:30] 很薄的书
[00:04:30 -> 00:04:33] 丁剑送了我一本叫做众数的人
[00:04:33 -> 00:04:36] 我觉得我读完也挺有收获的
[00:04:36 -> 00:04:41] 前段时间也在学听王东润讲的《道德经》
[00:04:41 -> 00:04:46] 我是一个特别在意有趣的一个人
[00:04:46 -> 00:04:47] OK
[00:04:47 -> 00:04:51] 就是我不管在选择我们公司的候选人也好
[00:04:51 -> 00:04:54] 还是交朋友也好
[00:04:54 -> 00:04:56] 甚至说和投资人打交道也好
[00:04:56 -> 00:04:59] 就是我会在意对方是不是一个有趣的人
[00:04:59 -> 00:05:03] 他是不是有所自己热爱的东西
[00:05:03 -> 00:05:08] 是不是两眼绽放了一点小光
[00:05:08 -> 00:05:12] 我觉得这个对我来说是很有意义的
[00:05:12 -> 00:05:13] 对
[00:05:13 -> 00:05:15] OK
[00:05:15 -> 00:05:15] 然后
[00:05:15 -> 00:05:18] 所以你的投资人里面谁最有趣
[00:05:18 -> 00:05:20] 这得罪太多人了
[00:05:20 -> 00:05:22] 有趣不有趣
[00:05:22 -> 00:05:24] 很多人也都不care自己有趣不有趣
[00:05:24 -> 00:05:27] 很多人就感觉我就是要严肃认真
[00:05:27 -> 00:05:28] 逻辑严密
[00:05:28 -> 00:05:28] 对吧
[00:05:28 -> 00:05:30] 这可能是他们的职场人设
[00:05:30 -> 00:05:34] 首先投资我们的很大部分的投资人
[00:05:34 -> 00:05:35] 都是非常年轻的投资人
[00:05:35 -> 00:05:38] 然后年轻的投资人本身愿意投资我们
[00:05:38 -> 00:05:40] 我觉得就是一个相对有趣的
[00:05:40 -> 00:05:41] 你这端水大师
[00:05:41 -> 00:05:45] 然后我是一个不擅长写字的人
[00:05:45 -> 00:05:48] 写字是说敲字
[00:05:48 -> 00:05:49] every字
[00:05:49 -> 00:05:52] 就是跟字相关的就不是我擅长的
[00:05:52 -> 00:05:53] 但是我英语一直不太好
[00:05:53 -> 00:05:54] 然后在美国也待了8年
[00:05:54 -> 00:05:58] 所以我就慢慢的就不太擅长用文字去输出了
[00:05:58 -> 00:05:59] 所以我学文科
[00:05:59 -> 00:06:00] 也很suffer
[00:06:00 -> 00:06:04] 所以我一般比如说回微信消息
[00:06:04 -> 00:06:09] 或者说你看我们公司从来没有我写的那种
[00:06:09 -> 00:06:11] 类似于公司全员邮件
[00:06:11 -> 00:06:13] 这种全员信什么的
[00:06:13 -> 00:06:16] 然后也从来没给什么投资人写小作文
[00:06:16 -> 00:06:20] 然后包括你可以理解为跟字相关的
[00:06:20 -> 00:06:21] 都不是我擅长的
[00:06:21 -> 00:06:22] 对
[00:06:22 -> 00:06:24] 但是我擅长跟人聊天
[00:06:24 -> 00:06:26] 就这个事情是ok的
[00:06:26 -> 00:06:27] 我以前是非常坚持说
[00:06:28 -> 00:06:29] 我这个东西我就是不行
[00:06:29 -> 00:06:30] 所以我要克服
[00:06:30 -> 00:06:32] 我以前在商场做了一段时间战略
[00:06:32 -> 00:06:34] 那个时候就非常痛苦
[00:06:34 -> 00:06:35] 因为战略你要画ppt
[00:06:35 -> 00:06:37] 对你得写很多这种东西
[00:06:37 -> 00:06:38] 然后我说不行
[00:06:38 -> 00:06:39] 我这东西差
[00:06:39 -> 00:06:40] 我就是要补上
[00:06:40 -> 00:06:41] 我就是往死里搞
[00:06:41 -> 00:06:41] 对
[00:06:41 -> 00:06:42] 后来我放弃了
[00:06:42 -> 00:06:44] 我确实不擅长
[00:06:44 -> 00:06:47] 那你用AI工具写prompt的时候怎么办
[00:06:47 -> 00:06:48] 也会很痛苦
[00:06:48 -> 00:06:51] 就不是一个我特别喜欢交互的形态
[00:06:51 -> 00:06:54] 但是我觉得在3D的时空里面
[00:06:54 -> 00:06:56] 你可能未来不是要打字
[00:06:56 -> 00:06:57] 你应该是言出法随的
[00:06:57 -> 00:06:59] 因为你很难想象说
[00:06:59 -> 00:07:01] 我在一个3D的时空中
[00:07:01 -> 00:07:02] 然后你突然冒出来一个键盘
[00:07:02 -> 00:07:04] 然后就开始打字
[00:07:04 -> 00:07:06] 这是一件非常突兀的事情
[00:07:06 -> 00:07:07] 就理论上来说应该是
[00:07:07 -> 00:07:11] 你就就像原神飘着一个小的minion
[00:07:11 -> 00:07:12] 对吧
[00:07:12 -> 00:07:13] 然后就跟那个minion对话说
[00:07:13 -> 00:07:14] 我要一个什么东西
[00:07:14 -> 00:07:14] 对吧
[00:07:14 -> 00:07:16] 让他让这给你实现了
[00:07:16 -> 00:07:16] 对吧
[00:07:16 -> 00:07:17] 或者你有个小的助手说
[00:07:18 -> 00:07:19] 我要怎么怎么样
[00:07:19 -> 00:07:19] 然后他就给你这些
[00:07:19 -> 00:07:21] 就言出法随心仰视神
[00:07:21 -> 00:07:23] 理论上来说是这么一个交互形态
[00:07:23 -> 00:07:24] 对吧
[00:07:24 -> 00:07:25] 他一定不是打字的
[00:07:25 -> 00:07:28] 所以我还挺希望3D赶紧实现的
[00:07:28 -> 00:07:29] 还有两个
[00:07:29 -> 00:07:33] 我是一个特别喜欢内容和做内容的人
[00:07:33 -> 00:07:34] OK
[00:07:34 -> 00:07:38] 我从小学的时候就读各种各样的
[00:07:38 -> 00:07:38] 神话小说
[00:07:38 -> 00:07:40] 什么唐三
[00:07:40 -> 00:07:42] 我吃西红柿
[00:07:42 -> 00:07:43] 苍天白鹤
[00:07:43 -> 00:07:45] 天蚕土豆
[00:07:45 -> 00:07:46] 这些等等
[00:07:46 -> 00:07:50] 然后后来读各种各样的漫画
[00:07:50 -> 00:07:51] 各种民工漫也好
[00:07:51 -> 00:07:55] 还是一些所谓的硬核二次元的漫画也好
[00:07:55 -> 00:07:57] 然后再包括翻剧
[00:07:57 -> 00:07:58] 再包括打游戏
[00:07:58 -> 00:07:59] of course
[00:07:59 -> 00:08:02] 这些内容都是我最爱的
[00:08:02 -> 00:08:03] 包括当然还有一些传统的电影
[00:08:04 -> 00:08:08] 包括一些这种音乐这些都
[00:08:08 -> 00:08:11] 旗舰小说里面是上传了我写的神话小说的
[00:08:11 -> 00:08:12] 可以搜到吗
[00:08:12 -> 00:08:13] 现在用什么名字
[00:08:13 -> 00:08:14] 对
[00:08:14 -> 00:08:15] 就只有200个人看过
[00:08:15 -> 00:08:19] 但是我确实是在沙汤的时候
[00:08:19 -> 00:08:23] 做过一些动画的IP
[00:08:23 -> 00:08:26] 做过几个百万粉丝的一些IP什么的
[00:08:26 -> 00:08:28] 我觉得这些是挺有意思的
[00:08:28 -> 00:08:28] 好
[00:08:28 -> 00:08:30] 然后我是特别喜欢做内容
[00:08:30 -> 00:08:34] 包括在半次元做一些KOL
[00:08:34 -> 00:08:35] 然后或者说
[00:08:35 -> 00:08:36] 你说你自己做KOL
[00:08:36 -> 00:08:38] 我自己喜欢做IP
[00:08:38 -> 00:08:38] 然后
[00:08:38 -> 00:08:39] 所以你的粉丝有多少
[00:08:39 -> 00:08:41] 我们叫OC什么东西
[00:08:41 -> 00:08:42] 当时几万粉丝
[00:08:42 -> 00:08:45] 我也自己很想做游戏
[00:08:45 -> 00:08:49] 然后自己从小学的时候
[00:08:49 -> 00:08:52] 我就有一本非常破的一个本子
[00:08:52 -> 00:08:54] 但我在我家现在还有的
[00:08:54 -> 00:08:56] 然后上面就是有好几种游戏
[00:08:56 -> 00:08:58] 一种就是RPG角色扮演的
[00:08:58 -> 00:09:00] 然后你会有不同的等级
[00:09:00 -> 00:09:01] 然后你有不同的装备
[00:09:01 -> 00:09:03] 背包里有不同的东西
[00:09:03 -> 00:09:04] 然后你有探险
[00:09:04 -> 00:09:06] 然后每个人还会互相
[00:09:06 -> 00:09:09] 因为很多男生下课了以后就会来找我玩
[00:09:09 -> 00:09:11] 然后真的是可以互相打什么杀什么
[00:09:11 -> 00:09:13] 就跟RPG一样
[00:09:13 -> 00:09:15] 感觉你在学校里面的地位非常高
[00:09:15 -> 00:09:15] 不
[00:09:15 -> 00:09:19] 就是当你拥有了一个系统的时候
[00:09:19 -> 00:09:22] 就当你成为了自己造了一个小世界的时候
[00:09:22 -> 00:09:24] 你就成为一个这个世界里的神了
[00:09:24 -> 00:09:26] 你就有最终解释权
[00:09:26 -> 00:09:27] 所以大家就会来充值
[00:09:27 -> 00:09:28] 就比如说
[00:09:28 -> 00:09:31] 这个大家会当什么香菇肥牛
[00:09:31 -> 00:09:33] 或者辣条
[00:09:33 -> 00:09:35] 或者什么北京烤鸭那种五毛钱的
[00:09:35 -> 00:09:36] 那个
[00:09:36 -> 00:09:37] 豆腐干制品
[00:09:37 -> 00:09:38] 然后就会送给我
[00:09:38 -> 00:09:41] 然后我就可以把它画得稍微强一点
[00:09:41 -> 00:09:42] 这特别逗
[00:09:42 -> 00:09:44] 所以这个事情对你现在做vast
[00:09:44 -> 00:09:46] 你觉得有直接关系吗
[00:09:46 -> 00:09:48] 就当时的这样的快乐
[00:09:48 -> 00:09:51] 创造一个虚拟世界的这种正反馈
[00:09:51 -> 00:09:52] 我觉得有
[00:09:52 -> 00:09:54] 我觉得我是一个特别喜欢
[00:09:54 -> 00:09:56] 创造和创作的人
[00:09:56 -> 00:09:56] 对
[00:09:56 -> 00:09:57] 我
[00:09:58 -> 00:09:58] 我
[00:09:58 -> 00:09:59] I会写故事
[00:09:59 -> 00:10:01] 我会我会造一个世界
[00:10:01 -> 00:10:03] 然后我也会去消费
[00:10:03 -> 00:10:04] 我也喜欢消费别人的故事
[00:10:04 -> 00:10:07] 这是我特别喜欢的东西
[00:10:07 -> 00:10:11] 因为这个物理的世界其实还是有限制的
[00:10:11 -> 00:10:12] 就更大的世界
[00:10:12 -> 00:10:17] 其实来自于人的这个大脑的一些想象和发散
[00:10:17 -> 00:10:18] 这个创意的部分
[00:10:18 -> 00:10:22] 我觉得还是一个更大的一个无限的世界
[00:10:22 -> 00:10:22] 对
[00:10:22 -> 00:10:24] 所以那个也是我喜欢的
[00:10:24 -> 00:10:27] 最后一个我是同时我也是个哥哥
[00:10:27 -> 00:10:27] 对
[00:10:27 -> 00:10:28] 我有一个亲弟弟
[00:10:28 -> 00:10:32] 我觉得这个也是我挺重要的一个身份的
[00:10:33 -> 00:10:35] 而且因为我们差很多岁
[00:10:35 -> 00:10:40] 所以我也更好的去了解到他们哪一代人喜欢什么东西
[00:10:40 -> 00:10:44] 因为我们在做的东西无论如何都是下一代人的事情
[00:10:44 -> 00:10:47] 对他来说AI就是非常正常的事情
[00:10:47 -> 00:10:48] 我都我不会什么东西
[00:10:48 -> 00:10:51] 我还是下一次的谷歌或者下一次的百度的
[00:10:51 -> 00:10:51] 很难说OK了
[00:10:51 -> 00:10:54] 我下一次的去打开GPT或DeepSeek
[00:10:54 -> 00:10:56] 但是我弟弟就是非常
[00:10:56 -> 00:10:56] 非常的
[00:10:56 -> 00:10:58] 这个手
[00:10:58 -> 00:10:59] 对
[00:10:59 -> 00:11:01] 他去搜索也好
[00:11:01 -> 00:11:02] 去做一个项目也好
[00:11:02 -> 00:11:05] 他是非常习惯的去用AI
[00:11:05 -> 00:11:07] 他觉得这就是一个很正常的
[00:11:07 -> 00:11:07] 对吧
[00:11:07 -> 00:11:10] 他从小就在消费有AI参与的内容
[00:11:10 -> 00:11:14] 然后他接触的时代也是不一样
[00:11:14 -> 00:11:19] 因为我在小时候最早的时候就是大量的文字的内容
[00:11:19 -> 00:11:21] 因为那个时候互联网他没有那么成熟
[00:11:21 -> 00:11:22] 对
[00:11:22 -> 00:11:24] 他接受不了除了文字以外
[00:11:24 -> 00:11:25] 信息密度更高的信息载体
[00:11:25 -> 00:11:26] 因为它的上下行
[00:11:26 -> 00:11:29] 它的硬件的process都是不够的
[00:11:29 -> 00:11:32] 虽然可能3D是信息密度最高的
[00:11:32 -> 00:11:32] 也是最自然的
[00:11:32 -> 00:11:33] 把一个水平推过去
[00:11:33 -> 00:11:35] 一个孩子会自然的给你推回来
[00:11:35 -> 00:11:37] 这是一个非常natural的事情
[00:11:37 -> 00:11:38] 我们生活在一个3D的时空中
[00:11:38 -> 00:11:43] 但是对于早期的互联网来说
[00:11:43 -> 00:11:45] 它没有办法去支撑信息密度这么高的东西
[00:11:45 -> 00:11:47] 所以它自然没办法了
[00:11:47 -> 00:11:51] 但是它就只能去做一些更抽象
[00:11:51 -> 00:11:52] 更降位的事情
[00:11:52 -> 00:11:53] 这样子它才能够跑得通
[00:11:53 -> 00:11:55] 所以说我们最看到最一开始
[00:11:55 -> 00:11:56] 它就是
[00:11:56 -> 00:11:57] 文字的
[00:11:57 -> 00:11:59] 所以我也是最一开始看小说
[00:11:59 -> 00:12:01] 那个时候拿MP3看小说
[00:12:01 -> 00:12:03] 拿那个手电筒在被窝里面
[00:12:03 -> 00:12:04] 怕老师发现
[00:12:04 -> 00:12:05] 然后拿了MP3
[00:12:05 -> 00:12:07] 一个MP3显示10个字符
[00:12:07 -> 00:12:09] 你要看一个500万字的小说
[00:12:09 -> 00:12:10] 你得N50万下
[00:12:10 -> 00:12:11] 然后去看这个小说
[00:12:11 -> 00:12:15] 后来移动互联网出现初衷的时候
[00:12:15 -> 00:12:18] 我记得我那个时候装逼买了台iPhone4
[00:12:18 -> 00:12:20] 然后终于说有这个图片了
[00:12:20 -> 00:12:21] 有这些东西了
[00:12:21 -> 00:12:22] 手机还有摄像头了
[00:12:22 -> 00:12:23] 可觉得牛逼了
[00:12:23 -> 00:12:26] 然后那个时候慢慢就开始
[00:12:26 -> 00:12:29] 有一些图片的内容的消费
[00:12:29 -> 00:12:33] 直到后来我应该是到大学的时候
[00:12:33 -> 00:12:36] 我们才开始有更多的视频内容出现了
[00:12:36 -> 00:12:39] 然后我们才会有习惯了
[00:12:39 -> 00:12:40] 后来有短视频什么的
[00:12:40 -> 00:12:42] 但是都说甚至我工作了
[00:12:42 -> 00:12:44] 开始的时候
[00:12:44 -> 00:12:46] 短视频才开始真正够玩
[00:12:46 -> 00:12:48] 你觉得除了有问题之后
[00:12:48 -> 00:12:51] 第一想到是用Google还是用其他GPT
[00:12:51 -> 00:12:52] 就你和你弟的区别
[00:12:52 -> 00:12:53] 除了这个之外
[00:12:53 -> 00:12:55] 还有哪些特别显著的区别
[00:12:55 -> 00:12:56] 你看我很习惯
[00:12:56 -> 00:12:57] 看公众号
[00:12:57 -> 00:12:59] 他就是个不喜欢看公众号的
[00:12:59 -> 00:13:01] 他习惯去找YouTube
[00:13:01 -> 00:13:03] 去找B站去找一些答案
[00:13:03 -> 00:13:03] 对吧
[00:13:03 -> 00:13:04] 因为对他来说
[00:13:04 -> 00:13:06] 视频本身就是个信息密度更高的东西
[00:13:06 -> 00:13:10] 他更符合他Born with的一个环境
[00:13:10 -> 00:13:12] 这Born with 3D的用户
[00:13:12 -> 00:13:13] 你们已经看到了吗
[00:13:13 -> 00:13:14] 在你们的用户群里
[00:13:14 -> 00:13:16] 对他可能年纪更小
[00:13:16 -> 00:13:20] 比如说我们看到我弟有他的学弟
[00:13:20 -> 00:13:22] 做B站拉不住的
[00:13:22 -> 00:13:24] 然后他去做的是那种
[00:13:24 -> 00:13:26] 非常非常
[00:13:26 -> 00:13:27] 怪的这种
[00:13:27 -> 00:13:31] 我不是很能看得懂的一些3D的一些作品
[00:13:31 -> 00:13:34] 然后什么马桶人和监控人什么这些
[00:13:34 -> 00:13:35] 就是
[00:13:35 -> 00:13:36] I don't know
[00:13:36 -> 00:13:38] 但他有大概十几万
[00:13:38 -> 00:13:40] 什么小几十万的粉丝在B站里
[00:13:40 -> 00:13:45] 有的时候甚至有百万的那种播放的这种视频
[00:13:45 -> 00:13:46] 就是
[00:13:46 -> 00:13:46] You know
[00:13:46 -> 00:13:48] 就是你都不知道谁在消费它
[00:13:48 -> 00:13:52] 但是反正是something
[00:13:52 -> 00:13:52] Right
[00:13:52 -> 00:13:54] 就是所以我觉得
[00:13:56 -> 00:13:58] 我觉得不同的
[00:13:58 -> 00:14:02] 不同的每一代人其实真的是不同的年龄吧
[00:14:02 -> 00:14:04] 这不同的年龄段他能够
[00:14:04 -> 00:14:05] 身处的环境
[00:14:05 -> 00:14:07] 你不管是说
[00:14:07 -> 00:14:12] 文字图片视频3D的信息载体和内容媒介的区别
[00:14:12 -> 00:14:17] 还是说是工业社会数字化社会和智能社会的区别
[00:14:17 -> 00:14:19] 还是实实在在的
[00:14:19 -> 00:14:21] 可能一两年看不出来
[00:14:21 -> 00:14:23] 但可能以十年为跨度还是挺明显的
[00:14:23 -> 00:14:23] 好
[00:14:23 -> 00:14:26] 那我们来具体聊一聊你们在做的这个
[00:14:26 -> 00:14:27] 3D大模型吧
[00:14:27 -> 00:14:30] 那个你们最近应该是8月20号吧
[00:14:30 -> 00:14:32] 就是发布的这个triple3.0
[00:14:32 -> 00:14:36] 其实前面也提到了就是对这些新一代用户的关注
[00:14:36 -> 00:14:38] 你可以说一说就是这个triple3.0
[00:14:38 -> 00:14:40] 你们是给谁设计的吗
[00:14:40 -> 00:14:43] 然后和前面的产品相比
[00:14:43 -> 00:14:47] 你觉得这一次最大最最大最重要的迭代在哪里
[00:14:47 -> 00:14:51] 其实我们triple在已经做了挺久
[00:14:51 -> 00:14:56] 从24年初上线到现在
[00:14:56 -> 00:14:59] 已经有一年半时间了
[00:14:59 -> 00:15:01] 也有很多用户
[00:15:01 -> 00:15:07] 现在全球范围内也有个三四百万的专业的创作者
[00:15:07 -> 00:15:10] 包括4万多家企业客户
[00:15:10 -> 00:15:15] 包括这里面可能有700多家就是非常大的大客户
[00:15:15 -> 00:15:16] 那么大家都在这个里面
[00:15:16 -> 00:15:20] 其实把AI 3D能够去用起来
[00:15:20 -> 00:15:21] 但是呢
[00:15:21 -> 00:15:26] 他我觉得一直不能算非常的派配来玩
[00:15:26 -> 00:15:32] 或者说在实际的3D的管线中
[00:15:32 -> 00:15:35] 他只是在一环中产生了一定的作用
[00:15:35 -> 00:15:40] 他可能还需要用专业的人去这个修改一下呀
[00:15:40 -> 00:15:42] 精修一下呀
[00:15:42 -> 00:15:43] 那么triple3.0
[00:15:43 -> 00:15:45] 我觉得他的跨时代意义呢
[00:15:45 -> 00:15:47] 其实在于说AI 3D
[00:15:47 -> 00:15:51] 他第一次达到了一个
[00:15:51 -> 00:15:54] 我觉得在大部分的行业和场景内
[00:15:54 -> 00:15:56] 可以被直接使用的
[00:15:56 -> 00:15:58] 这么一个状态
[00:15:58 -> 00:16:00] 就这个事情我觉得还挺本质的
[00:16:00 -> 00:16:03] 就比如说你现在如果买了一台3D打印机
[00:16:03 -> 00:16:05] 不管是哪个品牌的
[00:16:05 -> 00:16:07] 你放到了家里面
[00:16:07 -> 00:16:08] 比如说给孩子买的
[00:16:08 -> 00:16:12] 你在triple3.0上面随便生成一个3D模型
[00:16:12 -> 00:16:15] 你给他把这个模型放到这个3D打印机里
