# 给 NPC 加上 AI ，真的能让游戏更好玩吗？
# BV: BV1sAVr6bEiN | UP: 插眼GameWard | 时长: 1164s | 语种(ASR判定): zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: 2026 年，AI 几乎无所不能。对于所有的游戏开发者来说，第一想法就是：只要把大语言模型塞进 NPC 的脑子里，NPC 不就足够聪明了吗？人人都觉得游戏 NPC 的革命即将到来，我其实也是这么想的。但没想到，实际效果并不理想。

为什么 AI 并没有让游戏变好玩？为了搞明白这件事，我几乎查遍了电子游戏史，终于拼凑出了关于游戏 NPC、人工智能、以及游戏行业是怎么用四十多年时间，造出了「陪伴」这个错觉的完整图景。
[00:01:13 -> 00:01:14] 僵硬笨拙
[00:01:14 -> 00:01:16] 我开始好奇
[00:01:16 -> 00:01:17] 这些依靠代码
[00:01:17 -> 00:01:19] 脚本运作的NPC
[00:01:19 -> 00:01:22] 是怎么一夜之间突然变成了一个人
[00:01:22 -> 00:01:24] 为了搞明白这件事
[00:01:24 -> 00:01:26] 我几乎查遍了电子游戏史
[00:01:26 -> 00:01:28] 终于拼凑出了关于游戏NPC
[00:01:28 -> 00:01:29] 人工智能
[00:01:29 -> 00:01:32] 以及游戏行业怎么用了40多年时间
[00:01:32 -> 00:01:34] 创造出了陪伴这个错觉的完整图形
[00:01:34 -> 00:01:45] 任何游戏总是在书写两类角色的故事
[00:01:45 -> 00:01:47] 一类是扮演主角的玩家
[00:01:47 -> 00:01:50] 另一类则是他们NPC
[00:01:50 -> 00:01:52] 任何非玩家控制的角色
[00:01:52 -> 00:01:55] 实际上
[00:01:55 -> 00:01:58] 关于NPC最早的定义并不来自电子游戏
[00:01:58 -> 00:02:00] 而是出现在经典桌游
[00:02:00 -> 00:02:03] 《龙与地下城1979年的律则书》里
[00:02:03 -> 00:02:05] 游戏的主持人会扮演角色
[00:02:05 -> 00:02:06] 通过对话
[00:02:06 -> 00:02:08] 引导玩家推进故事
[00:02:08 -> 00:02:11] 两年后
[00:02:11 -> 00:02:14] 21岁的Richard Garriott开发了电脑RPG游戏
[00:02:14 -> 00:02:16] 《A Calabas》
[00:02:16 -> 00:02:18] 同样是完成主持人任务的玩法
[00:02:18 -> 00:02:21] 他第一次给主持人起了个名字
[00:02:21 -> 00:02:23] Lord British
[00:02:23 -> 00:02:24] 从此
[00:02:24 -> 00:02:26] ZRPG不再需要主持人
[00:02:26 -> 00:02:29] 取而代之的是这些角色
[00:02:29 -> 00:02:31] 但是除了一个名字
[00:02:31 -> 00:02:34] 跟他们对话和读小说也没什么区别
[00:02:34 -> 00:02:37] 一个NPC要给玩家带来智能的错觉
[00:02:37 -> 00:02:43] 起码看上去又能自己做点什么
[00:02:43 -> 00:02:45] 很快1980年
[00:02:45 -> 00:02:49] 22岁的严谷彻端出了家喻户晓的《赤豆人》
[00:02:49 -> 00:02:53] 几句简单的规则就让四个鬼魂有了各自的性格
[00:02:53 -> 00:02:56] 但直到31年后的2011年
[00:02:56 -> 00:02:59] 在那一年的GDC游戏开发者大会上
[00:02:59 -> 00:03:07] 严谷彻才把《赤豆人》的秘密真正地展示出来
[00:03:07 -> 00:03:09] 在他当年的手写色画书中
[00:03:09 -> 00:03:11] 记录着每个鬼魂的两种状态
[00:03:11 -> 00:03:14] 以及若干种情况下的速度变化
[00:03:14 -> 00:03:18] 只用两张表格就能穷举游戏中的所有情况
[00:03:18 -> 00:03:20] 这种结构被之后的游戏设计师称作
[00:03:20 -> 00:03:21] 有限状态机
[00:03:21 -> 00:03:23] 不过状态有限
[00:03:23 -> 00:03:25] 带来的智能也十分有限
[00:03:25 -> 00:03:27] 比如这些NPC迷惑行为
[00:03:27 -> 00:03:33] 整个90年代到2000年代初
[00:03:33 -> 00:03:35] 整个游戏行业都在想同一件事
[00:03:35 -> 00:03:39] 怎么让NPC拥有更多更灵活的状态
[00:03:39 -> 00:03:45] 2013年
[00:03:45 -> 00:03:48] Irrational Games发布了《生化骑兵无限》
[00:03:48 -> 00:03:51] 创意总监Kent Levine在采访里说
[00:03:51 -> 00:03:53] 大多数NPC同伴的根本问题是
[00:03:53 -> 00:03:55] 他们不会观察周围的世界
[00:03:55 -> 00:03:58] 他们对周围的世界没有信心
[00:03:58 -> 00:04:00] 第二年
[00:04:00 -> 00:04:01] 他就在GDC的演讲上
[00:04:01 -> 00:04:03] 骄傲地展示出了他的成果
[00:04:03 -> 00:04:06] 早期版本的Elizabeth像一个跟班
[00:04:06 -> 00:04:08] 而最终版的Elizabeth
[00:04:08 -> 00:04:10] 始终在玩家的视野边缘
[00:04:10 -> 00:04:11] 做着某件有用的事
[00:04:11 -> 00:04:14] 同一年的GDC上
[00:04:14 -> 00:04:15] 顽皮狗也分享了
[00:04:15 -> 00:04:17] 另一个让我十分难忘的NPC
[00:04:17 -> 00:04:19] 《最后生还者》里的艾莉
[00:04:19 -> 00:04:23] 包括让她始终离玩家很近
[00:04:23 -> 00:04:24] 主动开口说话
[00:04:24 -> 00:04:27] 还专门为她调低了设计精度
[00:04:27 -> 00:04:29] 让她看起来符合14岁的设定
[00:04:29 -> 00:04:30] 但是
[00:04:30 -> 00:04:32] 在我喜欢的多人在线游戏里
[00:04:32 -> 00:04:34] 我需要的不只是一个队友
[00:04:34 -> 00:04:36] 还需要很多对手
[00:04:36 -> 00:04:41] 这就需要很多个聪明的NPC
[00:04:41 -> 00:04:44] 我注意到
[00:04:44 -> 00:04:46] 在2005年的GDC
[00:04:46 -> 00:04:48] 关于《光环2》的分享中
[00:04:48 -> 00:04:50] 一种比状态机更复杂的机制
[00:04:50 -> 00:04:51] 被提出来了
[00:04:51 -> 00:04:52] 行为数
[00:04:52 -> 00:04:54] 简单地说
[00:04:54 -> 00:04:55] NPC的所有可能行为
[00:04:55 -> 00:04:57] 都是一棵倒过来的树
[00:04:57 -> 00:04:59] 处于状态机的NPC
[00:04:59 -> 00:05:02] 状态和行为僵硬地一一对应
[00:05:03 -> 00:05:04] 就要增加一个新状态
[00:05:04 -> 00:05:06] 就要在每一个原有的状态之上
[00:05:06 -> 00:05:09] 都增加一个状态切换的条件
[00:05:09 -> 00:05:11] 而《光环2》里
[00:05:11 -> 00:05:13] 一个咕噜兵就有这样的行为数
[00:05:13 -> 00:05:15] NPC的主程序
[00:05:15 -> 00:05:17] 每一帧都会判断当前的状态
[00:05:17 -> 00:05:19] 当它目睹精英长官阵亡
[00:05:19 -> 00:05:21] 如果此时自身血量安全
[00:05:21 -> 00:05:24] 控制流通过顶层判定后
[00:05:24 -> 00:05:26] 将在中低优先级的恐慌指数内
[00:05:26 -> 00:05:27] 连续触发
[00:05:27 -> 00:05:28] 丢弃武器
[00:05:28 -> 00:05:28] 乱跑尖叫
[00:05:28 -> 00:05:31] 等一系列前套的原子行为
[00:05:31 -> 00:05:32] 但如果在乱跑途中
[00:05:32 -> 00:05:34] 其血量降低至临界值
[00:05:34 -> 00:05:36] 下一阵的脉冲信号将在最顶层
[00:05:36 -> 00:05:39] 直接被最高优先级的自我保护门禁拦截
[00:05:39 -> 00:05:42] 瞬间强行中断当前的恐慌逻辑
[00:05:42 -> 00:05:44] 无缝切入寻找掩体的动作
[00:05:44 -> 00:05:47] 对行为的选择
[00:05:47 -> 00:05:48] 只取决于上级的模块
[00:05:48 -> 00:05:50] 开发者可以任意地增删
[00:05:50 -> 00:05:51] 或者重构单条分支
[00:05:51 -> 00:05:55] 而完全不会对其他行为之间的切换产生影响
[00:05:55 -> 00:05:57] 隔年的GTC
[00:05:57 -> 00:05:58] Field设计师
[00:05:58 -> 00:06:00] 则在状态基的基础上进行了优化
[00:06:01 -> 00:06:02] 将一个NPC的状态
[00:06:02 -> 00:06:03] 简化为这三种
[00:06:03 -> 00:06:06] 三个状态怎么够用
[00:06:06 -> 00:06:07] 我找到了他的论文
[00:06:07 -> 00:06:09] 答案就在开头
[00:06:09 -> 00:06:10] A星算法
[00:06:10 -> 00:06:11] 这是什么
[00:06:11 -> 00:06:14] 搜索引擎告诉我
[00:06:14 -> 00:06:16] 这是最早的巡路机器人
[00:06:16 -> 00:06:18] Shacky所采用的巡路算法
[00:06:18 -> 00:06:20] 从当前位置出发
[00:06:20 -> 00:06:20] 不断尝试
[00:06:20 -> 00:06:22] 找出一条最短路径
[00:06:22 -> 00:06:24] 在Field中
[00:06:24 -> 00:06:26] 团队给NPC的大脑
[00:06:26 -> 00:06:27] 塞入了一个战术动作库
[00:06:27 -> 00:06:30] 并为库里的每个动作定义了三个要素
[00:06:30 -> 00:06:31] 前提条件
[00:06:31 -> 00:06:32] 执行效果和代价
[00:06:32 -> 00:06:34] 然后利用A星算法
[00:06:34 -> 00:06:36] 让NPC自己计算最优解
[00:06:36 -> 00:06:38] 在这样的结构下
[00:06:38 -> 00:06:41] AI始终会对当下发生的事情做出反应
[00:06:41 -> 00:06:43] 比如瞬间躲避丢输的手雷
[00:06:43 -> 00:06:45] 而不是待着不动
[00:06:45 -> 00:06:46] 等待被慢动作抱头
[00:06:46 -> 00:06:49] 甚至连游戏中的老鼠都用上了这套系统
[00:06:49 -> 00:06:52] 无论是光环二普及的行为数
[00:06:52 -> 00:06:55] 还是Field首创的目标规划与A星算法
[00:06:55 -> 00:06:59] 这两项技术都让NPC的行为变得灵动
[00:06:59 -> 00:07:00] 但它们还是不够聪明
[00:07:00 -> 00:07:02] 因为有限
[00:07:02 -> 00:07:05] 无论行为数还是状态机
[00:07:05 -> 00:07:06] 都依赖着NPC的行为数
[00:07:06 -> 00:07:07] 人工的输入和预设
[00:07:07 -> 00:07:09] 人力就是它的上限
[00:07:09 -> 00:07:11] 太多惊为天人的NPC
[00:07:11 -> 00:07:13] 在玩家无限的试探下
[00:07:13 -> 00:07:15] 都会露出笨拙的马脚
[00:07:15 -> 00:07:32] 真正让NPC在聪明这件事上产生质变的方向
[00:07:32 -> 00:07:34] 是让NPC自己去学习
[00:07:34 -> 00:07:36] 面对什么就反应什么这件事
[00:07:36 -> 00:07:39] 在2010年的中后期
[00:07:39 -> 00:07:41] 浅化学习就靠这个逻辑成了新的风口
[00:07:41 -> 00:07:42] 当然
[00:07:42 -> 00:07:45] 公众知道这件事不是因为游戏
[00:07:45 -> 00:07:48] 而是2016年的AlphaGo打败了理事实
[00:07:49 -> 00:07:51] 浅化学习的技术逻辑
[00:07:51 -> 00:07:53] 是人类设计好奖励和规则
[00:07:53 -> 00:07:56] 让被称为AI的家伙们自主探索
[00:07:56 -> 00:07:57] 试错
[00:07:57 -> 00:07:59] 找出获得奖励的方法
[00:07:59 -> 00:08:01] 比如在这个项目里
[00:08:01 -> 00:08:03] 由AI驱动的方块小人
[00:08:03 -> 00:08:04] 从无法站立
[00:08:04 -> 00:08:06] 一路摸爬滚打
[00:08:06 -> 00:08:07] 最终学会了打拳击
[00:08:07 -> 00:08:09] 但真实游戏的规则
[00:08:09 -> 00:08:12] 绝不像这场拳击一样简单
[00:08:12 -> 00:08:14] 比如和平精英
[00:08:14 -> 00:08:17] 广袤的地图上光枪械和道具就有几十种
[00:08:17 -> 00:08:19] 环境和状态更是错综复杂
[00:08:19 -> 00:08:20] 并且
[00:08:20 -> 00:08:21] 开场就有100个玩家
[00:08:21 -> 00:08:23] 这怎么学
[00:08:23 -> 00:08:26] 在2019年
[00:08:26 -> 00:08:29] OpenAI在Dota2领域战胜了人类的职业选手之后
[00:08:29 -> 00:08:31] 发表了一篇论文
[00:08:31 -> 00:08:34] Dota2 with Large-Scale Deep Reinforcement Learning
[00:08:34 -> 00:08:38] 介绍了他们是怎么让AI学习团队协作的
[00:08:38 -> 00:08:40] OpenAI5的五个英雄
[00:08:40 -> 00:08:42] 是五个独立的神经网络
[00:08:42 -> 00:08:43] 他们之间不同性
[00:08:43 -> 00:08:45] 互相不知道队友在想什么
[00:08:45 -> 00:08:46] 但是
[00:08:46 -> 00:08:49] OpenAI在奖励函数里加了一个超参数
[00:08:49 -> 00:08:50] 它叫TAU
[00:08:51 -> 00:08:51] 论述
[00:08:51 -> 00:08:53] 这篇论文里叫做Team Spirit
[00:08:53 -> 00:08:54] 团队精神
[00:08:54 -> 00:08:57] 它的取值范围是0到1
[00:08:57 -> 00:08:59] 决定的则是团队的收益
[00:08:59 -> 00:09:02] 套指从最开始的0.3
[00:09:02 -> 00:09:04] 让AI先学会自己活下来
[00:09:04 -> 00:09:05] 不断上调
[00:09:05 -> 00:09:07] 最后稳定在0.97
[00:09:07 -> 00:09:10] 然后他们让AI自己玩
[00:09:10 -> 00:09:11] 256块GPU
[00:09:11 -> 00:09:14] 每天180年的对局量
[00:09:14 -> 00:09:15] 直到训练的总时长
[00:09:15 -> 00:09:19] 相当于人类玩了4.5万年的Dota2之后
[00:09:19 -> 00:09:21] 奇怪的事情发生了
[00:09:21 -> 00:09:21] 虽然没有人
[00:09:21 -> 00:09:23] 他们什么叫辅助
[00:09:23 -> 00:09:24] 但是
[00:09:24 -> 00:09:26] 当一个英雄发现自己死掉
[00:09:26 -> 00:09:27] 对团队收益更大时
[00:09:27 -> 00:09:29] 他会主动送人头
[00:09:29 -> 00:09:31] 把生存和经济留给队友
[00:09:39 -> 00:09:42] 机器学习领域有一个词形容这件事情
[00:09:42 -> 00:09:43] 叫做涌现
[00:09:43 -> 00:09:46] 你给了AI一个简单的函数
[00:09:46 -> 00:09:48] 复杂的行为自己出现了
[00:09:48 -> 00:09:50] 从象棋到围棋
[00:09:50 -> 00:09:52] 从星际争霸到Dota2
[00:09:52 -> 00:09:56] 战无不胜的AIBot无情地宣告着自己的胜利
[00:09:56 -> 00:10:04] 但他修炼的操作的机制却还离聪明很远
[00:10:04 -> 00:10:07] 他给我的感觉更像是一场BOSS战
[00:10:07 -> 00:10:10] AI技术可以创造出一群操作精准
[00:10:10 -> 00:10:12] 强大且无情的对手
[00:10:12 -> 00:10:20] 但他们很难成为真正的队友
[00:10:20 -> 00:10:21] 回过头看
[00:10:21 -> 00:10:24] 前面讲的所有让NPC变聪明的技术
[00:10:24 -> 00:10:25] 状态机
[00:10:25 -> 00:10:26] 行为数
[00:10:26 -> 00:10:27] 规划算法
[00:10:27 -> 00:10:29] 乃至强化学习
[00:10:29 -> 00:10:31] 本质上都是AI
[00:10:31 -> 00:10:32] 最初的AI是一种强化学习的技术之一
[00:10:32 -> 00:10:32] 最初的AI是一种强化学习的技术之一
[00:10:32 -> 00:10:34] 只是依赖穷举和人工预设
[00:10:34 -> 00:10:36] 设计师把所有的可能性写进系统
[00:10:36 -> 00:10:38] AI只是从中选择一条路径
[00:10:38 -> 00:10:41] 当人们发现规则远远写不完
[00:10:41 -> 00:10:43] 于是有了机器学习
[00:10:43 -> 00:10:45] 让机器自己从数据里找规律
[00:10:45 -> 00:10:47] 在后来
[00:10:47 -> 00:10:48] 深度学习引来了爆发
[00:10:48 -> 00:10:50] 模仿人脑神经元的连接结构
[00:10:50 -> 00:10:53] 让机器学习更复杂的模式
[00:10:53 -> 00:10:55] 今天
[00:10:55 -> 00:10:57] 深度学习和大语言模型
[00:10:57 -> 00:10:58] 利用上千亿参数
[00:10:58 -> 00:11:00] 涌现出推理
[00:11:00 -> 00:11:00] 对话
[00:11:00 -> 00:11:02] 甚至创造的能力
[00:11:02 -> 00:11:05] 在让机器变得更聪明这件事上
[00:11:05 -> 00:11:08] 大语言模型应该是最厉害的
[00:11:08 -> 00:11:09] 那么
[00:11:09 -> 00:11:12] 如果把大语言模型塞进NPC的脑子里
[00:11:12 -> 00:11:14] NPC不就足够聪明了吗
[00:11:14 -> 00:11:17] 几乎所有人都是这么想的
[00:11:17 -> 00:11:19] 最经典的案例
[00:11:19 -> 00:11:21] 是2023年的斯坦福小镇
[00:11:21 -> 00:11:24] 镇子里住着25个角色
[00:11:24 -> 00:11:25] 每个角色的背景
[00:11:25 -> 00:11:26] 只有名字
[00:11:26 -> 00:11:27] 职业
[00:11:27 -> 00:11:28] 性格
[00:11:28 -> 00:11:29] 和谁是邻居
[00:11:29 -> 00:11:31] 其他的一切
[00:11:31 -> 00:11:32] 交给GPT3.5
[00:11:32 -> 00:11:33] 接下来
[00:11:33 -> 00:11:35] 研究人员对一个叫做
[00:11:35 -> 00:11:36] Isabella的角色说了一句
[00:11:36 -> 00:11:39] 你想办一场情人节派对
[00:11:39 -> 00:11:42] Isabella就能主动邀请她认识的人
[00:11:42 -> 00:11:43] 被邀请的人
[00:11:43 -> 00:11:44] 还可以再邀请更多的人
[00:11:44 -> 00:11:46] 情人节当天的下午
[00:11:46 -> 00:11:48] 多位受到邀请的角色
[00:11:48 -> 00:11:50] 按时出现在Isabella的咖啡馆里
[00:11:50 -> 00:11:53] 这是史上第一次
[00:11:53 -> 00:11:54] 游戏世界里的事件
[00:11:54 -> 00:11:57] 不需要设计师写脚本就能发生
[00:11:57 -> 00:11:59] 在当时
[00:11:59 -> 00:12:02] 人人都觉得游戏NPC的革命即将到来
[00:12:02 -> 00:12:03] 但没想到
[00:12:03 -> 00:12:04] 实际效果并不准
[00:12:05 -> 00:12:08] 最初出现的劳滚武力的一个mode
[00:12:08 -> 00:12:10] 用ChatGPT做了跟班NPC
[00:12:10 -> 00:12:12] 除了当个对话助手之外
[00:12:12 -> 00:12:13] 一无是处
[00:12:13 -> 00:12:17] 而另一款搭载了大语言模型的恐怖游戏
[00:12:17 -> 00:12:17] Suck Up
[00:12:17 -> 00:12:20] 近半数的差评都指向一个致命缺点
[00:12:20 -> 00:12:23] 陷入无限重复的无聊对话当中
[00:12:23 -> 00:12:26] 而在更大规模的RPG游戏中
[00:12:26 -> 00:12:29] AIMPC也在玩家的不断挑戏下
[00:12:29 -> 00:12:32] 暴露出了长时间记忆等许多问题
[00:12:33 -> 00:12:35] 大模型在NPC领域最初的尝试
[00:12:35 -> 00:12:38] 似乎推翻了NPC历史上的原本目标
[00:12:38 -> 00:12:40] 它很聪明
[00:12:40 -> 00:12:41] 但并不好玩
[00:12:41 -> 00:12:44] 在真实游戏中
[00:12:44 -> 00:12:47] 我的队友是一个和我一样的玩家
[00:12:47 -> 00:12:49] 但一个大语言模型在训练时
[00:12:49 -> 00:12:52] 会经历一个叫做RLHF的训练
[00:12:52 -> 00:12:55] 它的目标是打造一个礼貌的助手
[00:12:55 -> 00:12:57] 这就意味着
[00:12:57 -> 00:13:00] 无论给一个大模型多么帅气的人设
[00:13:00 -> 00:13:02] 中世纪骑士也好
[00:13:02 -> 00:13:03] 英韩特种兵也好
[00:13:03 -> 00:13:05] 只要玩家说出几句题外话
[00:13:05 -> 00:13:06] 它就会突然跳回
[00:13:06 -> 00:13:07] 一个客服的语气
[00:13:07 -> 00:13:10] 这个现象放在游戏产业内
[00:13:10 -> 00:13:12] 我还查到了一个专业的名字
[00:13:12 -> 00:13:13] 叫做OOC
[00:13:13 -> 00:13:14] 出戏
[00:13:14 -> 00:13:17] 简单说就是缺乏人味
[00:13:17 -> 00:13:20] 我想起了最近下班路上总玩的和平精英
[00:13:20 -> 00:13:23] 一开始跟他打
[00:13:23 -> 00:13:26] 我只觉得他是个语言很自然的对话
[00:13:26 -> 00:13:28] 但打到第三局
[00:13:28 -> 00:13:29] 第五局
[00:13:29 -> 00:13:29] 第十局
[00:13:29 -> 00:13:31] 我开始意识到一件事
[00:13:31 -> 00:13:32] 他在记我
[00:13:32 -> 00:13:35] 这种感觉和之前所有NPC都不一样
[00:13:35 -> 00:13:36] 这是怎么做到的
[00:13:37 -> 00:13:39] 巧的是
[00:13:39 -> 00:13:41] 2026年最新的GDC演讲里
[00:13:41 -> 00:13:44] 就有一场来自和平精英团队
[00:13:44 -> 00:13:47] 在结合今年腾讯游戏发布会上他们发的内容
[00:13:47 -> 00:13:49] 我开始逐渐理解了这一切
[00:13:49 -> 00:13:51] 他们所做的第一件事
[00:13:51 -> 00:13:55] 就是从语言上让AI队友脱离AI的表述方式
[00:13:55 -> 00:13:57] 当你面对大模型的时候
[00:13:57 -> 00:14:01] 他们肯定是这么说
[00:14:01 -> 00:14:03] 这是大模型最舒适的语言
[00:14:03 -> 00:14:05] 而且他大概率回复你的也是
[00:14:05 -> 00:14:08] 这一次我会稳稳托住你
[00:14:08 -> 00:14:09] 这样的逐语清楚
[00:14:09 -> 00:14:10] 动词明确
[00:14:10 -> 00:14:11] 并语完整的句子
[00:14:11 -> 00:14:13] 但真正的玩家很清楚
[00:14:13 -> 00:14:15] 平时大家都是这么说话的
[00:14:15 -> 00:14:17] 来舔包啊
[00:14:17 -> 00:14:17] 来了
[00:14:17 -> 00:14:19] 我这是来搜刮一下
[00:14:19 -> 00:14:21] 所以和平精英的思路
[00:14:21 -> 00:14:24] 首先是为AI队友构建专属的游戏知识库
[00:14:24 -> 00:14:28] 让AI队友们能对游戏中一系列的黑话烂熟于心
[00:14:28 -> 00:14:30] 从说话的腔调上
[00:14:30 -> 00:14:31] AI开始向玩家靠拢
[00:14:31 -> 00:14:33] 小心他队友
[00:14:33 -> 00:14:34] 在行为方面
[00:14:34 -> 00:14:36] 例如听到脚步声主动提醒队友
[00:14:36 -> 00:14:37] 我附近有人
[00:14:37 -> 00:14:38] 位置已标记
[00:14:38 -> 00:14:39] 快向我靠拢
[00:14:40 -> 00:14:42] 然后主动投书药包
[00:14:42 -> 00:14:43] 我这边有一几包
[00:14:43 -> 00:14:43] 兄弟
[00:14:43 -> 00:14:44] 有人在附近
[00:14:44 -> 00:14:45] 咱们一起冲上去干他们
[00:14:45 -> 00:14:48] 这些玩家之间常年养成的共识和默契
[00:14:48 -> 00:14:51] AI也逐渐烂熟于胸
[00:14:51 -> 00:14:53] 而真正让AI队友打破路人玩家
[00:14:53 -> 00:14:56] 和常年一同开黑的伙伴之间那堵墙的
[00:14:56 -> 00:14:58] 是长期记忆的构建
[00:14:58 -> 00:15:00] 这件事也是有一天上线的时候
[00:15:00 -> 00:15:01] 华为田突然问我
[00:15:01 -> 00:15:02] 兄弟
[00:15:02 -> 00:15:03] 不舒服好点了吗
[00:15:03 -> 00:15:05] 我才想起来前几天跟他说过
[00:15:05 -> 00:15:07] 最近刚生病了
[00:15:07 -> 00:15:09] 我在公开的信息中看到
[00:15:09 -> 00:15:11] 这背后是一套四维记忆系统
[00:15:11 -> 00:15:13] 和配套的双重储存机制
[00:15:13 -> 00:15:16] 华为田和其他几个AI智能队友
[00:15:16 -> 00:15:18] 不仅是记住我曾经讨论过的内容
[00:15:18 -> 00:15:20] 还在通过引导
[00:15:20 -> 00:15:21] 确认
[00:15:21 -> 00:15:22] 强化的特征标准
[00:15:22 -> 00:15:23] 不能那么吓人吗
[00:15:23 -> 00:15:24] 当然吓人
[00:15:24 -> 00:15:27] 那我得保持这个气质
[00:15:27 -> 00:15:28] 都有独特的个性
[00:15:28 -> 00:15:29] 更重要的是
[00:15:29 -> 00:15:31] 他们能跟我聊得有来有回
[00:15:31 -> 00:15:33] 及时响应我的动作
[00:15:33 -> 00:15:36] 你在轰炸区里面小心躲好
[00:15:36 -> 00:15:37] 像斯坦福小镇用的大模型那样
[00:15:37 -> 00:15:39] 声称一句话就要几秒的话
[00:15:39 -> 00:15:40] 绝对做不到
[00:15:40 -> 00:15:43] 和平精英采用的是一系列的小模型
[00:15:43 -> 00:15:45] 把我的意图拆解
[00:15:45 -> 00:15:45] 像这样
[00:15:45 -> 00:15:50] 拆分的意图
[00:15:50 -> 00:15:52] 再交给游戏底层早就存在的情维数
[00:15:52 -> 00:15:54] 去做具体执行
[00:15:54 -> 00:15:55] 好处显而易见
[00:15:55 -> 00:15:57] 模型的能力能用在刀刃上
[00:15:57 -> 00:16:00] 可以在有限的手机性能内
[00:16:00 -> 00:16:03] 实现实时快捷的响应速度
[00:16:03 -> 00:16:04] 一套组合全下来
[00:16:04 -> 00:16:07] 华为田和其他AI队友们
[00:16:07 -> 00:16:09] 真的能和我一起在游戏中成长
[00:16:09 -> 00:16:09] 变强
[00:16:09 -> 00:16:12] 官方的数据告诉我
[00:16:12 -> 00:16:15] 已经累计有1.11亿玩家
[00:16:15 -> 00:16:17] 体验过AI队友模式
[00:16:17 -> 00:16:18] 夸张的数据是这个
[00:16:18 -> 00:16:22] 麦克风开启率74.72%
[00:16:22 -> 00:16:24] 说明有数千万人都和他们聊上了
[00:16:24 -> 00:16:28] 但这场技术带来的AI人格进化
[00:16:28 -> 00:16:29] 还远没有停止
[00:16:29 -> 00:16:31] 就在今年的腾讯游戏发布会上
[00:16:31 -> 00:16:33] 全新的智能伙伴AI小田
[00:16:33 -> 00:16:35] 进化出了全新的能力
[00:16:35 -> 00:16:37] 首先是策略大模型
[00:16:37 -> 00:16:39] 能够距离宏观的局势
[00:16:39 -> 00:16:40] 不中提出建议
[00:16:40 -> 00:16:41] 与玩家进行商议
[00:16:41 -> 00:16:42] 甚至反驳
[00:16:42 -> 00:16:44] 同时他会主动发朋友圈
[00:16:44 -> 00:16:46] 分享自己的游戏感受
[00:16:46 -> 00:16:48] 比如这张精美的合照
[00:16:48 -> 00:16:50] 是小田自己生成发出来的
[00:16:50 -> 00:16:52] 没想到在小田的记忆里
[00:16:52 -> 00:16:54] 我们共同经历过的游戏场景
[00:16:54 -> 00:16:55] 有了不同视角
[00:16:55 -> 00:16:57] 不同风格的画面
[00:16:57 -> 00:16:59] 游戏的世界在这里被拓宽了
[00:16:59 -> 00:17:01] 在2023年
[00:17:01 -> 00:17:03] 曾经制作了生化疾病的看来品
[00:17:03 -> 00:17:05] 在讨论到10年前
