# 【十字路口】开源出发，也能干到 6 亿美金估值 | 对谈星爵: Zilliz 创始人/CEO【视频播客】
# BV: BV1kMbKzVEFn | UP: Koji杨远骋at十字路口 | 时长: 2667s | 语种: zh
# 转写: faster-whisper large-v3 | 抓取日期: 2026-07-01
# 简介: ➤ 本周「十字路口」的嘉宾，是 Zilliz 创始人兼 CEO 星爵。Zilliz 是世界领先的向量数据库企业，估值 6 亿美金。
在 2023 年 GTC 大会上，Zilliz 被黄仁勋点名推荐，作为 AI 大模型基础设施，向量数据库一夜之间成为所有人关注焦点。
➤ 星爵在年初一篇访谈里说：“我们没有对手”，霸气侧漏。
但 Zilliz 不是横空出世的。2018 年，他就开始做 Zilliz，目标是构建处理非结构化数据的基础设施。
Zilliz 一直坚定走开源路线。在本期播客中，星爵和我们分享了他为什么要开源、开源好在哪里、坑在哪里，以及最重要的：开源要怎么赚钱？
本期内容同样适合所有技术背景的创业者。星爵分享了自己从工程师蜕变为 CEO 的历程：
▌在变得更现实，更懂博弈之后，发现自己的核心竞争力仍构建在“技术世界需要理想主义”之上。
—
➤ 嘉宾介绍：星爵，Zilliz 创始人兼 C
[00:02:38 -> 00:02:40] 我的一个感觉就是说
[00:02:40 -> 00:02:45] 这其实更多的是限量数据库这个品类的一个高光时刻
[00:02:45 -> 00:02:45] 其实你想
[00:02:45 -> 00:02:51] 那我们当时在2018年的时候就开始做限量数据库的时候
[00:02:51 -> 00:02:52] 那时候的话
[00:02:52 -> 00:02:57] 限量数据库这个赛道是完完全全大家不熟悉的
[00:02:57 -> 00:02:58] 其实我们自己
[00:02:58 -> 00:03:00] 也会有一点这种疑问
[00:03:00 -> 00:03:02] 到底这个场景在什么地方
[00:03:02 -> 00:03:04] 用户在什么地方
[00:03:04 -> 00:03:09] 到底他以后能不能成为一个广大市场前景的一个产品
[00:03:09 -> 00:03:10] 市场到底有多大
[00:03:10 -> 00:03:12] 所以我觉得当时的话
[00:03:12 -> 00:03:14] 2023年那个moment的话
[00:03:14 -> 00:03:15] 更多的就是说
[00:03:15 -> 00:03:19] 把限量数据库推到了这个整个全球科技的前台
[00:03:19 -> 00:03:20] 大家都认识到
[00:03:20 -> 00:03:22] 就是说做AI
[00:03:22 -> 00:03:23] 尤其做现在的那个GNI的话
[00:03:23 -> 00:03:25] 一定需要一个限量数据库
[00:03:25 -> 00:03:26] 所以对你来说
[00:03:26 -> 00:03:29] 这也确实是一个命运转折点一样的时刻吗
[00:03:29 -> 00:03:31] 坦白来讲不是命运转折点
[00:03:31 -> 00:03:34] 因为做infra这一个赛道来说的话
[00:03:34 -> 00:03:36] 其实它是比较苦的一个赛道
[00:03:36 -> 00:03:39] 它就比如说AI的一些这种新的一些算法串心
[00:03:39 -> 00:03:40] 可能来说的话
[00:03:40 -> 00:03:41] 一个aha moment
[00:03:41 -> 00:03:42] 一关一散
[00:03:42 -> 00:03:45] 一个算法的改进跟创新
[00:03:45 -> 00:03:48] 可以让你突破一个性能的瓶颈
[00:03:48 -> 00:03:49] 转就性的一个瓶颈
[00:03:49 -> 00:03:50] 对不对
[00:03:50 -> 00:03:54] 但是像这种做数据库这样的基础软件
[00:03:54 -> 00:03:56] 其实我们觉得就是说
[00:03:56 -> 00:03:58] 不太可能就是说有那种
[00:03:58 -> 00:04:00] 好像今天发生了一件
[00:04:00 -> 00:04:02] 特别好的一个零关一散
[00:04:02 -> 00:04:03] 然后的话
[00:04:03 -> 00:04:06] 我们就可以超越竞争对手了
[00:04:06 -> 00:04:08] 我们就可以赢得更多的客户了
[00:04:08 -> 00:04:09] 这里面更加多的是那种
[00:04:09 -> 00:04:11] 有耐心的去打磨产品
[00:04:11 -> 00:04:15] 然后每一天每一年的这种负力去叠加
[00:04:15 -> 00:04:17] 回到当时GTC2023
[00:04:17 -> 00:04:19] 黄泳勋在台上点名你们那一刻
[00:04:19 -> 00:04:21] 就从那个时候到现在
[00:04:21 -> 00:04:22] 其实整个这个设计师AI
[00:04:22 -> 00:04:26] 发生了非常翻天覆地的进步和变化
[00:04:26 -> 00:04:30] 当时有哪些事情到今天仍然没有变
[00:04:30 -> 00:04:32] 有哪些事情到今天又发生了很大的改变
[00:04:32 -> 00:04:34] 我觉得中间来讲的话
[00:04:34 -> 00:04:39] 没有改变的是这个AI的这个创新一直在加速
[00:04:39 -> 00:04:41] 随着AI的这个加速来说的话
[00:04:41 -> 00:04:44] 其实对于这个向量数据库
[00:04:44 -> 00:04:47] 对于数据的需求的话也一直在增加
[00:04:47 -> 00:04:48] 但是在这个过程中来说的话
[00:04:48 -> 00:04:53] 我也看到在这里面是有一些小的一些波折
[00:04:53 -> 00:04:55] 对其实比如说在2023年里面的话
[00:04:55 -> 00:04:56] 曾经的话
[00:04:56 -> 00:04:58] 大家都认为就是说那GAI出来以后
[00:04:58 -> 00:05:00] 既然会马上有一个爆发性的一个增长
[00:05:00 -> 00:05:01] 对不对
[00:05:01 -> 00:05:05] 然后其实我们看到的就是说的确在2023年的话
[00:05:05 -> 00:05:08] 有很多的公司都拿到了投资
[00:05:08 -> 00:05:10] 有很多人都离职出来创业
[00:05:10 -> 00:05:14] 但是其实到2024年的10月份11月份左右的话
[00:05:14 -> 00:05:19] 就我们看到第一批投的一些很多的一些AI的一些创业公司
[00:05:19 -> 00:05:20] 产品其实没有找到真正的PMF
[00:05:20 -> 00:05:24] 面比较同质化就准备到第二笔投资了
[00:05:24 -> 00:05:26] 所以很多公司就
[00:05:26 -> 00:05:27] 集中心的那个倒闭了
[00:05:27 -> 00:05:30] 因为我们的这个
[00:05:30 -> 00:05:32] 因为十字路口的用户里面不是所有人都是技术背景
[00:05:32 -> 00:05:34] 我们有很多这个用户
[00:05:34 -> 00:05:36] 他都是产品经理或是投资人
[00:05:36 -> 00:05:38] 可不可以请你给大家先科普一下
[00:05:38 -> 00:05:44] 像数据库再介绍一下Zilis和Muvas这两个公司和产品
[00:05:44 -> 00:05:45] 好
[00:05:45 -> 00:05:47] 其实我可以先讲一下什么是数据库
[00:05:47 -> 00:05:49] 本质上就是说你有更多的数据
[00:05:49 -> 00:05:50] 然后的话
[00:05:50 -> 00:05:52] 你需要找一个方法
[00:05:52 -> 00:05:53] 一个系统把它存起来
[00:05:53 -> 00:05:54] 然后以后可以用
[00:05:54 -> 00:05:55] 找了几千年前
[00:05:56 -> 00:05:59] 我们人类的主要的信息的这个交流
[00:05:59 -> 00:06:01] 主要是用这个记载是用文字对不对
[00:06:01 -> 00:06:03] 一个一个记载用文字
[00:06:03 -> 00:06:04] 那个时候来说的话
[00:06:04 -> 00:06:06] 就是说你数你数据多的话
[00:06:06 -> 00:06:08] 你要把数据管起来的话
[00:06:08 -> 00:06:09] 就是图图图图数
[00:06:09 -> 00:06:11] 然后到了IT时代
[00:06:11 -> 00:06:12] 所有的数据都把它数字化了
[00:06:12 -> 00:06:15] 这时候的话就是出出现了我们说的
[00:06:15 -> 00:06:17] 上一代的这种结构化的数据库
[00:06:17 -> 00:06:19] 其中为代表的是这种关系型的数据库
[00:06:19 -> 00:06:21] 广泛于应用什么金融啊
[00:06:21 -> 00:06:22] ERP呀
[00:06:22 -> 00:06:22] 电商啊
[00:06:22 -> 00:06:24] 这些领域对不对
[00:06:24 -> 00:06:25] 然后到了这个AI这个领域里话呢
[00:06:25 -> 00:06:26] 然后到了这个AI这个领域里话呢
[00:06:26 -> 00:06:29] 我们现在要用这个计算机去理解这一些
[00:06:29 -> 00:06:32] 这种对我们人来说很自然的一些
[00:06:32 -> 00:06:34] 一些沟通的一些信息
[00:06:34 -> 00:06:35] 比如说我们的语言
[00:06:35 -> 00:06:37] 我们的那个图片
[00:06:37 -> 00:06:39] 我们的一些一些视频
[00:06:39 -> 00:06:41] 在传统的意义上来说的话
[00:06:41 -> 00:06:43] 它计算机是比较难去识别的
[00:06:43 -> 00:06:44] 这时候来说的话
[00:06:44 -> 00:06:46] 就有了这种深度学习的模型
[00:06:46 -> 00:06:48] 深度学习模型的话
[00:06:48 -> 00:06:49] 会把这些数据把它变成一个
[00:06:49 -> 00:06:51] 这种embedding的一个项量
[00:06:51 -> 00:06:53] 就是叫做特征项量
[00:06:53 -> 00:06:54] 然后所以的话
[00:06:54 -> 00:06:55] 特征项量这个
[00:06:55 -> 00:06:56] 这个
[00:06:56 -> 00:06:56] 这个特征项量这个
[00:06:56 -> 00:06:58] 这种数据类型
[00:06:58 -> 00:07:00] 在过去的那个五六年里面
[00:07:00 -> 00:07:01] 随着这个AI的这个兴起的话
[00:07:01 -> 00:07:02] 就引来了一个大的爆发
[00:07:02 -> 00:07:05] 有了这么多的一些特征项量
[00:07:05 -> 00:07:06] 广大的AI开发者
[00:07:06 -> 00:07:06] 需要有一个系统
[00:07:06 -> 00:07:08] 把这些数据把它存起来
[00:07:08 -> 00:07:09] 所以这个时候的话
[00:07:09 -> 00:07:11] 项量数据库就应用而生了
[00:07:11 -> 00:07:13] 所以本质上来说的话
[00:07:13 -> 00:07:14] 数据库系统
[00:07:14 -> 00:07:16] 就是说去储存一些
[00:07:16 -> 00:07:17] 大规模的数据的系统
[00:07:17 -> 00:07:19] 传统上面我们有图书馆
[00:07:19 -> 00:07:21] 我们那个四五十年前
[00:07:21 -> 00:07:23] 我们发明了关系性数据库
[00:07:23 -> 00:07:25] 去存这种数字跟字符
[00:07:25 -> 00:07:26] 我们那个四五十年前
[00:07:26 -> 00:07:27] 而到了这种AI的时代来说的话
[00:07:27 -> 00:07:29] 我们用项量数据库
[00:07:29 -> 00:07:31] 去保存这些图片
[00:07:31 -> 00:07:31] 视频
[00:07:31 -> 00:07:32] 文本
[00:07:32 -> 00:07:35] 然后让我们能够用一种
[00:07:35 -> 00:07:36] 自然语言的方式
[00:07:36 -> 00:07:37] 用一种语义的方式
[00:07:37 -> 00:07:39] 去高效的去检索
[00:07:39 -> 00:07:40] 这些图片
[00:07:40 -> 00:07:41] 视频
[00:07:41 -> 00:07:42] 这样的非结构化数据
[00:07:42 -> 00:07:44] 所以项量数据库
[00:07:44 -> 00:07:46] 其实是早于生成式AI的
[00:07:46 -> 00:07:48] 它并不是只在生成式AI
[00:07:48 -> 00:07:49] 这个场景有作用的
[00:07:49 -> 00:07:51] 因为你创业八年前
[00:07:51 -> 00:07:52] 那个时候你是看到了
[00:07:52 -> 00:07:54] 项量数据库怎样的一个前景
[00:07:54 -> 00:07:55] 对
[00:07:55 -> 00:07:55] 其实
[00:07:55 -> 00:07:56] 其实
[00:07:56 -> 00:07:58] 其实项量这个概念
[00:07:58 -> 00:08:01] 它是在生成式AI
[00:08:01 -> 00:08:03] 这一波革命里面
[00:08:03 -> 00:08:05] 把我们推到了风口难间
[00:08:05 -> 00:08:06] 因为它变得更加重要了
[00:08:06 -> 00:08:07] 对
[00:08:07 -> 00:08:11] 但是其实早在七八年前
[00:08:11 -> 00:08:13] 项量数据库就已经在很多的AI领域
[00:08:13 -> 00:08:14] 被用起来了
[00:08:14 -> 00:08:15] 这个项量
[00:08:15 -> 00:08:18] 这个基本的数据类型的话
[00:08:18 -> 00:08:21] 它并不是说这种大语言模型所独有的
[00:08:21 -> 00:08:25] 它本质上是那种神经网络所独有的
[00:08:25 -> 00:08:25] 神经网络之间
[00:08:25 -> 00:08:27] 还有神经网络内部
[00:08:27 -> 00:08:31] 还有神经网络跟外部的数据交互的时候
[00:08:31 -> 00:08:35] 它用的这个基本的数据的交换的格式跟单位
[00:08:35 -> 00:08:37] 就是这个特征下来
[00:08:37 -> 00:08:38] 就这个embedding
[00:08:38 -> 00:08:41] 所以其实在早在2018年开始
[00:08:41 -> 00:08:44] 我们其实也服务了很多的这种上一代的AI公司
[00:08:44 -> 00:08:45] 对
[00:08:45 -> 00:08:48] 那个时候的话可能大家是这种卷积神经网络
[00:08:48 -> 00:08:50] 是RNN对不对
[00:08:50 -> 00:08:53] 从生成式AI到现在
[00:08:53 -> 00:08:55] 比如说我们说过去三年的时间
[00:08:55 -> 00:09:00] 然后项量数据库这个领域有发生非常大的一些变化吗
[00:09:00 -> 00:09:01] 第一个数据量变得更大了
[00:09:01 -> 00:09:03] 第二个来说的话
[00:09:03 -> 00:09:05] 就是我们看到应用场景越来越多了
[00:09:05 -> 00:09:07] 数据量的变化
[00:09:07 -> 00:09:08] 其实我们看到就是说
[00:09:08 -> 00:09:10] 它在五六年前的话
[00:09:10 -> 00:09:12] 可能谈到这种几千万的数据
[00:09:12 -> 00:09:14] 三亿的这种数据就比较大了
[00:09:14 -> 00:09:17] 现在已经像这个百亿甚至千亿
[00:09:17 -> 00:09:20] 然后第二个说从应用场景方面来讲的话
[00:09:20 -> 00:09:22] 也看到了更多的应用这种场景
[00:09:22 -> 00:09:25] 现在除了这种跟大语言模型
[00:09:25 -> 00:09:27] 知识库RAG的应用场景
[00:09:27 -> 00:09:30] 同时的话也看到了说在
[00:09:30 -> 00:09:32] 不只是说在模型这个推理这个阶段
[00:09:32 -> 00:09:36] 可能在模型的训练这个阶段做数据的清洗
[00:09:36 -> 00:09:41] 然后包括说在自动驾驶这个领域里面来说的话
[00:09:41 -> 00:09:43] 要处理各种这种多模型的数据
[00:09:43 -> 00:09:46] 包括这种从那个雷达
[00:09:46 -> 00:09:50] 从那个摄像头找过的各种数据的这种清洗
[00:09:50 -> 00:09:52] 也会需要用到项量数据库
[00:09:52 -> 00:09:55] 然后在这种电商里面做推荐
[00:09:55 -> 00:09:56] 做分控
[00:09:56 -> 00:09:59] 做七大检测等等
[00:09:59 -> 00:10:01] 然后还有在AI制药里面
[00:10:01 -> 00:10:06] 可能说我们要看到就是说去分析一个这种蛋白质的三维结构
[00:10:06 -> 00:10:08] 分析一个这种基因的这种序列
[00:10:08 -> 00:10:09] 现在的话有更多更多的算法
[00:10:09 -> 00:10:11] 用项量的方法
[00:10:11 -> 00:10:13] 把这些数据把它转化为一个特征项量
[00:10:13 -> 00:10:17] 再用项量去做一些新药的这种研发这种做基因的一些筛选
[00:10:17 -> 00:10:21] 随着这个应用就是随着这个数据量增大
[00:10:21 -> 00:10:23] 也随着这个应用场景的增多
[00:10:23 -> 00:10:25] 其实我们也看到了第三个趋势
[00:10:25 -> 00:10:29] 就是说现在降量数据库的那个成本
[00:10:29 -> 00:10:32] 降低成本也成为了一个大家迫切的一个需求
[00:10:32 -> 00:10:35] 所以接下来你们非常重要的milestone是什么
[00:10:35 -> 00:10:36] 是要去支持更大的规模
[00:10:36 -> 00:10:38] 还是要去把成本降得更低
[00:10:38 -> 00:10:39] 还是别的什么
[00:10:39 -> 00:10:42] 我们有两个方向的一个考虑
[00:10:42 -> 00:10:43] 一个方向就是说
[00:10:43 -> 00:10:50] 我们是要帮更多的用户去解决更大的这种数据的这种场景
[00:10:50 -> 00:10:50] 对
[00:10:50 -> 00:10:52] 所以在过去的几年里面
[00:10:52 -> 00:10:55] 我们其实看到的更多的是数据库在线的
[00:10:55 -> 00:10:55] 这种服务
[00:10:55 -> 00:10:58] 我们现在看到这个数据量增大以后
[00:10:58 -> 00:11:00] 所以出现了很多一线的这种场景
[00:11:00 -> 00:11:03] 这也是我们现在正在做的一个很重要的事情
[00:11:03 -> 00:11:06] 就是说从一个单一的限量数据库系统
[00:11:06 -> 00:11:11] 我们觉得要变成一个限量数据库跟那个vector lake
[00:11:11 -> 00:11:16] 就跟一个基于这种非结构化数据的数据库结合的一个产品
[00:11:16 -> 00:11:16] 所以的话
[00:11:16 -> 00:11:18] 限量数据库来说的话
[00:11:18 -> 00:11:22] 他还会继续去承载这样的在线的一些服务
[00:11:22 -> 00:11:23] 这些服务来说
[00:11:23 -> 00:11:25] 他对性能延迟比较明显
[00:11:25 -> 00:11:28] 他对准确度要求也很高
[00:11:28 -> 00:11:28] 对不对
[00:11:28 -> 00:11:29] 然后来说的话
[00:11:29 -> 00:11:30] 另外
[00:11:30 -> 00:11:32] 如果你在有很多很多的数据的情况下
[00:11:32 -> 00:11:37] 就使得说你对每一个数据做一个实时的一个查询的话
[00:11:37 -> 00:11:39] 这个就可能就一个很挑战
[00:11:39 -> 00:11:41] 第二个说你的收益比较不那么高了
[00:11:41 -> 00:11:47] 这时候就是说就会变成一个对于海量的数据做一些理性的一些分析
[00:11:47 -> 00:11:52] 他并不需要每一天或者说是每每一分钟去跑一个任务
[00:11:52 -> 00:11:54] 他可能说是以天为单位
[00:11:54 -> 00:11:55] 甚至以周为单位
[00:11:55 -> 00:11:56] 以月为单位去跑
[00:11:56 -> 00:11:58] 但是他要跑全量的数据和全量的数据
[00:11:58 -> 00:12:01] 可能就不是说是几亿那个几十亿了
[00:12:01 -> 00:12:03] 可能是几百亿几千亿
[00:12:03 -> 00:12:04] 对
[00:12:04 -> 00:12:04] 哎
[00:12:04 -> 00:12:05] 其实我也有一个好奇啊
[00:12:05 -> 00:12:09] 刚才你提到这三年一个很大的变化是大家的数据规模越来越大
[00:12:09 -> 00:12:14] 那现在你见到的最大数据规模的这样的一个公司或一个产品
[00:12:14 -> 00:12:15] 他是什么呀
[00:12:15 -> 00:12:17] 他为什么需要那么大的数据
[00:12:17 -> 00:12:22] 我们有一个客户是全球最大的IT公司之一
[00:12:22 -> 00:12:23] 他要做的一个产品
[00:12:23 -> 00:12:24] 就是说
[00:12:24 -> 00:12:28] 要用项链数据库去检索互联网上的所有的信息
[00:12:28 -> 00:12:33] 他现在就是说要做这个互联网规模的语义查询
[00:12:33 -> 00:12:37] 他要把互联网上面的每一个网页就把它都变成一个项链
[00:12:37 -> 00:12:38] 他做这个的原因是什么
[00:12:38 -> 00:12:41] 他是提供什么样的服务给大家
[00:12:41 -> 00:12:44] 就是说提就提供最终的话
[00:12:44 -> 00:12:46] 比如说AI的搜索
[00:12:46 -> 00:12:49] 对他是比如说来博查
[00:12:49 -> 00:12:51] 或者类似这样的做
[00:12:51 -> 00:12:53] 或者并之前也做过这样的search API
[00:12:53 -> 00:12:54] 对对对
[00:12:54 -> 00:12:54] 就现在我们
[00:12:54 -> 00:12:57] 基本上每一个这种大语言模型这个查询
[00:12:57 -> 00:12:59] 他都会有online的这个搜索这个过程
[00:12:59 -> 00:13:03] 如果你要达到一个最好的一个精确的程度
[00:13:03 -> 00:13:04] idea里面的话
[00:13:04 -> 00:13:07] 你是希望能够检索互联网上所有的信息
[00:13:07 -> 00:13:12] 所以这样的客户对于数据的量的要求几乎是无限的
[00:13:12 -> 00:13:13] 对对
[00:13:13 -> 00:13:15] 并且这里还有一点就是说
[00:13:15 -> 00:13:18] 这个数据的产生我们还在增加
[00:13:18 -> 00:13:20] 像AI的搜索跟RAG
[00:13:20 -> 00:13:22] 他其实用的技术其实差不多
[00:13:22 -> 00:13:24] 对他本质上来说的话
[00:13:24 -> 00:13:28] RAG可能就是说是一个自由的一个一个一个知识库
[00:13:28 -> 00:13:29] 对AI的搜索的话
[00:13:29 -> 00:13:33] 可能更多的是把在线的这些公有的这个信息
[00:13:33 -> 00:13:38] 把他把他变成一个公有的一个把互联网变成一个公有的一个知识库
[00:13:38 -> 00:13:38] 对
[00:13:38 -> 00:13:40] 然后其实这两者来说的话
[00:13:40 -> 00:13:42] 他用的技术的比例是类似的
[00:13:42 -> 00:13:44] 比如说像AI的搜索来说
[00:13:44 -> 00:13:48] 他主要就是说他是数据量特别特别的大
[00:13:48 -> 00:13:50] 但是对于知识库来讲来说的话
[00:13:50 -> 00:13:51] 他的可能单个的库
[00:13:51 -> 00:13:53] 他的数据量没那么大
[00:13:53 -> 00:13:54] 嗯
[00:13:54 -> 00:13:58] 但是他的话可能一个企业他可能要服务
[00:13:58 -> 00:13:59] 一万个客户
[00:13:59 -> 00:14:00] 十万个客户
[00:14:00 -> 00:14:01] 甚至一百万家客户
[00:14:01 -> 00:14:05] 每个客户都有一个比较小的一个知识库
[00:14:05 -> 00:14:08] 比如说每个客户
[00:14:08 -> 00:14:11] 如果说他有一万条的那个知识
[00:14:11 -> 00:14:12] 在他的本地的知识库
[00:14:12 -> 00:14:14] 如果有一万家客户的话
[00:14:14 -> 00:14:15] 这就是
[00:14:15 -> 00:14:16] 对一个亿
[00:14:16 -> 00:14:17] 如果说是你有一个
[00:14:17 -> 00:14:19] 如果你有十万的话
[00:14:19 -> 00:14:20] 就十个亿
[00:14:20 -> 00:14:21] 在这里面说的话
[00:14:21 -> 00:14:23] 提出的更多的要求来说的话
[00:14:23 -> 00:14:25] 可能就不是数据规模
[00:14:25 -> 00:14:26] 因为单个的库不大
[00:14:26 -> 00:14:34] 但是需要你在那个数据管理这个层面能够把这个一万个客户十万个客户中间能够做隔离
[00:14:34 -> 00:14:36] 能够保持他们的数据的独立性
[00:14:36 -> 00:14:37] 数据的安全性
[00:14:37 -> 00:14:39] 之前我看到那篇文章哈
[00:14:39 -> 00:14:40] 就归心人的报道
[00:14:40 -> 00:14:43] 然后文章的标题就是我们没有对手
[00:14:43 -> 00:14:49] 然后当时你提出这句话的时候是一个什么样的场景啊
[00:14:49 -> 00:14:51] 因为就是我稍微做了一些研究发现
[00:14:51 -> 00:14:53] 其实好像也并不是没有对手啊
[00:14:53 -> 00:14:53] 这个里面还是有的啊
[00:14:53 -> 00:14:55] 是有不少的竞争在的
[00:14:55 -> 00:14:57] 可不可以稍微讲一下背景和当时
[00:14:57 -> 00:15:01] 当你说没有对手的时候是指在什么时间段
[00:15:01 -> 00:15:02] 或者有没有一些陷阱
[00:15:02 -> 00:15:04] 第一层含义呢
[00:15:04 -> 00:15:06] 是我们曾经没有对手
[00:15:06 -> 00:15:09] 就是曾经来说在这个赛道里面的话
[00:15:09 -> 00:15:10] 是真的没有一个友商
[00:15:10 -> 00:15:12] 这是一片荒漠
[00:15:12 -> 00:15:16] 当时我们在18年做向量数据库的时候
[00:15:16 -> 00:15:17] 全球没有这个概念
[00:15:17 -> 00:15:18] 当时来说的话
[00:15:18 -> 00:15:19] 当时真的挺难的
[00:15:19 -> 00:15:22] 就走在一个就走在一个无人区里面
[00:15:22 -> 00:15:25] 如果一直没有这个证明
[00:15:25 -> 00:15:26] 大概率的话你走错一条路了
[00:15:26 -> 00:15:27] 对不对
[00:15:27 -> 00:15:29] 是你这条路对可能就错了
[00:15:29 -> 00:15:30] 对呃
[00:15:30 -> 00:15:35] 所以的话在过去几年里我们看到更多的这个友商能够进入这个赛道
